case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,r_over_R_min,r_over_R_max,r_over_R_mid,sph_count,sph_mean_pressure,sph_median_pressure,sph_p95_abs_pressure,sph_max_abs_pressure,fv_mean_pressure,fv_p95_pressure,fv_max_pressure,mean_error,p95_abs_error
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.6,0.8,0.7,158.0,455.59614584664905,430.45156004125,537.4487576077751,563.5700048456,950.8277906303989,995.8505699005345,996.9440021027991,-495.23164478374986,-458.4018122927595
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.8,0.9,0.8500000000000001,138.0,315.1809387467073,317.53210115485,339.738653780055,369.189598461,698.7935012627219,840.7847181143603,849.8966023667558,-383.6125625160146,-501.0460643343053
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.9,0.95,0.925,72.0,244.71025722675702,250.19104339155,250.19110700098003,250.1911261753,392.87885025486116,502.48932390697246,512.093842002072,-148.16859302810414,-252.29821690599243
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.95,1.0,0.975,24.0,185.62947914143749,185.6294778432,185.629507036095,185.6295130541,130.98913455236607,250.56065398844683,261.64585838534066,54.64034458907142,-64.93114695235184
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.0,0.2,0.1,1.0,443.8495817085,443.8495817085,443.8495817085,443.8495817085,999.9998932327183,999.9999948305592,999.9999987165205,-556.1503115242183,-556.1504131220593
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.2,0.4,0.30000000000000004,32.0,154.64635445370155,182.4628768791,296.20283569539004,296.2028498782,999.9677552506132,999.9993563363907,999.999672879626,-845.3214007969117,-703.7965206410007
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.4,0.6,0.5,60.0,-18.481564020917762,-21.444422743845,40.44961005704,40.44964190501,996.6192024621852,999.8135114768436,999.8725970191897,-1015.1007664831029,-959.3639014198036
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.6,0.8,0.7,158.0,-34.71020687664432,-31.95147311664,44.068362010222,46.77210318317,911.5861727640132,985.4024832108084,988.4027211453746,-946.2963796406575,-941.3341212005864
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.8,0.9,0.8500000000000001,138.0,-17.824870195870684,-23.539094623335,26.180312558765,26.1803732991,620.9017310069399,766.9204535381757,777.2752907907628,-638.7266012028106,-740.7401409794107
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.9,0.95,0.925,72.0,-4.83638838405486,-19.096171762944998,23.683330645841,23.68336457758,335.60119797299126,432.71931879357857,441.4281800640712,-340.43758635704614,-409.03598814773756
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.004021,0.95,1.0,0.975,24.0,37.891698638841255,37.891772770375,37.8919427688035,37.89196146556,110.46009157761499,211.84197927248744,221.33226461435441,-72.56839293877374,-173.95003650368392
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.005027,0.0,0.2,0.1,1.0,122.8224144792,122.8224144792,122.8224144792,122.8224144792,999.9973640556683,999.9997119606978,999.9998895685092,-877.1749495764683,-877.1772974814978
