case_id,time_s,z_m,excess,analytical_excess
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.29499999,10000.0,10010.581097058697
l3c_mode1,0.0,0.30500001,10000.0,9989.622442654842
l3c_mode1,0.0,0.315,10000.0,9990.903879968737
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
l3c_mode1,0.0,0.345,10000.0,9986.593107389055
l3c_mode1,0.0,0.35499999,10000.0,9994.669667647204
l3c_mode1,0.0,0.32499999,10000.0,10012.010405264571
l3c_mode1,0.0,0.33500001,10000.0,10007.336199557962
