id,kind,mk,x,y,z,r,theta,z_over_H,region,volume_weight
1037,top_platen,1,0.00458112859727466,-0.044766206682890074,0.10500000000000001,0.045,-1.4688167994467227,,top_platen,3.51362336256753e-07
1038,top_platen,1,0.011886923421656245,-0.043401624987639345,0.10500000000000001,0.045,-1.3034698176788393,,top_platen,3.51362336256753e-07
1039,top_platen,1,0.01886847396199178,-0.04085316010231813,0.10500000000000001,0.045000000000000005,-1.138122835910955,,top_platen,3.51362336256753e-07
1040,top_platen,1,0.025335341719084806,-0.03719032750564589,0.10500000000000001,0.045000000000000005,-0.9727758541430715,,top_platen,3.51362336256753e-07
1041,top_platen,1,0.03111112739838796,-0.032513039722567826,0.10500000000000001,0.04499999999999999,-0.8074288723751872,,top_platen,3.51362336256753e-07
1042,top_platen,1,0.03603828262291937,-0.026948880971027125,0.10500000000000001,0.045,-0.6420818906073038,,top_platen,3.51362336256753e-07
1043,top_platen,1,0.03998240744228891,-0.020649626997086418,0.10500000000000001,0.045,-0.47673490883941955,,top_platen,3.51362336256753e-07
1044,top_platen,1,0.04283591641299021,-0.01378710502822531,0.10500000000000001,0.045,-0.31138792707153606,,top_platen,3.51362336256753e-07
1045,top_platen,1,0.04452097324884528,-0.006548506774494676,0.10500000000000001,0.045,-0.14604094530365266,,top_platen,3.51362336256753e-07
1046,top_platen,1,0.044991613991987325,0.0008687176733610986,0.10500000000000001,0.04499999999999999,0.01930603646423166,,top_platen,3.51362336256753e-07
1047,top_platen,1,0.04423500078981228,0.008262245767665544,0.10500000000000001,0.04500000000000001,0.18465301823211597,,top_platen,3.51362336256753e-07
1048,top_platen,1,0.0,0.0,0.11250000000000002,0.0,0.0,,top_platen,7.853981633974483e-07
1049,top_platen,1,0.009800665778412416,0.0019866933079506124,0.11250000000000002,0.01,0.2,,top_platen,7.853981633974483e-07
1050,top_platen,1,0.005525312921868542,0.008334921542248165,0.11250000000000002,0.01,0.9853981633974482,,top_platen,7.853981633974483e-07
1051,top_platen,1,-0.001986693307950611,0.009800665778412416,0.11250000000000002,0.009999999999999998,1.7707963267948965,,top_platen,7.853981633974483e-07
1052,top_platen,1,-0.008334921542248165,0.005525312921868541,0.11250000000000002,0.01,2.556194490192345,,top_platen,7.853981633974483e-07
1053,top_platen,1,-0.009800665778412416,-0.001986693307950613,0.11250000000000002,0.01,-2.9415926535897934,,top_platen,7.853981633974483e-07
1054,top_platen,1,-0.005525312921868541,-0.008334921542248165,0.11250000000000002,0.01,-2.1561944901923447,,top_platen,7.853981633974483e-07
1055,top_platen,1,0.0019866933079506124,-0.009800665778412416,0.11250000000000002,0.01,-1.3707963267948966,,top_platen,7.853981633974483e-07
