source_stage,case,return_status,boundary_class,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3d2,early_stop,-3,top_cap_zone,5,5,0,0,0.2666989333351342,0.9999027079999999,0.0999902708,0.021999031999945972,52.216429600000005,98.24573458412496,1.8849054188082128,120.111942,0.799843892,8.28944772e-05,0.000338442092,9.0,4604.748,0.062669322,0.0038848526,41704604.0,nan,0
M3d2,early_stop,-1,bottom_cap_zone,44,0,44,0,0.36579539085484214,0.0590918328469886,0.005909183284698864,0.019026138274354735,-17.761155496446964,37.01135641783523,-2.9161812966836895,119.9993981818182,0.800050880909091,-4.4592808704545456e-07,4.624151704545454e-07,0.0,28.169073,0.042827237,0.0003393898944647242,28529658.0,nan,0
M3d2,early_stop,-1,edge_corner,180,0,180,0,0.8932106057999658,0.05111036441822323,0.005111036441822315,0.0032036818260010153,-17.362995958888895,42.3086348658662,-7.853710963058243,119.99883333333332,0.8000506513333334,-8.623135848333336e-07,9.147813831666666e-07,0.0,31.624567,0.043205004,0.00111291760230914,28763496.0,nan,0
M3d2,early_stop,-1,interior_ring,69,0,69,0,0.3925385433961135,0.3391302807246377,0.03391302807246375,0.018223843698116596,-6.494098014009663,30.859239315193246,-12.403388099599017,119.99993855072464,0.800049892753624,-4.551191623188405e-08,4.7357225797101454e-08,0.0,18.571222,0.038017966,0.00035339131551712083,25330684.0,nan,0
M3d2,early_stop,-1,lateral_surface,80,0,80,0,0.7138979217271804,0.3199997229999998,0.0319999723,0.008583062348184562,-4.180293895,30.15208396583812,-23.462115441704313,119.999562,0.8000506349999998,-3.2351623925e-07,3.3579706525e-07,0.0,14.84254,0.034879927,0.0006367211450333471,23219276.0,nan,0
M3d2,early_stop,-1,measurement_core,2,0,2,0,2.7816617689480893e-12,0.34999980499999994,0.0349999805,0.02999999999991655,-5.0577895,30.877124250000342,-6.161017322800598,119.9984,0.80005276,-1.18555745e-06,1.2313134499999998e-06,0.0,5.5000648,0.0024756028,0.000120296410000011,1678636.5,nan,0
M3d2,slower_half_velocity,-3,edge_corner,76,76,0,0,0.741834061205827,0.17886287874580262,0.01788628787458028,0.007744978163825167,26.64002794092105,72.00395119520394,2.7473262365167193,119.4857299999998,0.8006569531578952,-0.00038200978315473686,0.0006934774333552633,10.0,2389.9802,0.044329159,0.0025152518494765694,29422702.0,nan,0
M3d2,slower_half_velocity,-3,lateral_surface,8,8,0,0,0.7454085997635944,0.7999847099999999,0.079998471,0.00763774200709217,41.397146,76.08717683374046,1.8379812181675692,119.96502999999998,0.8000528200000001,-2.5907345375e-05,5.6111795874999997e-05,11.0,1105.6786,0.017758112,0.0010040717557164307,11854140.0,nan,0
M3d2,slower_half_velocity,-3,top_cap_zone,7,7,0,0,0.1905070285749156,0.9284363685714284,0.09284363685714285,0.02428478914275253,42.50838328571428,82.34549653733862,1.958594313124681,119.80732571428571,0.8002536285714286,-0.00014281441428571427,0.0005243141342857143,9.0,2151.1204,0.037339263,0.0019319057000000005,24754284.0,nan,0
M3d2,slower_half_velocity,-1,bottom_cap_zone,26,0,26,0,0.3714230558449149,0.06538555483333844,0.006538555483333846,0.01885730832465255,-15.038294987179487,37.1013373015759,-3.622659642955326,119.9994396153846,0.8000509115384615,-4.1515758538461537e-07,4.305425192307692e-07,0.0,23.389572,0.042833209,0.00024340247359726412,28533644.0,nan,0
