source_stage,case,time,failed_count,status_-3,status_-1,status_-5,bottom_zone_count,edge_count,mean_pairwise_reaction_avg,max_abs_DivVel,max_velocity,max_abs_PorePressRate
M3f,quarter_speed_adaptive,0.016086,16,16,0,0,8,16,0.2310995,0.017431194,0.000788699891986888,11543288.0
M3f,quarter_speed_adaptive,0.018097,2,2,0,0,2,1,0.233186,0.018179201,0.0006156975733091032,12043484.0
M3f,quarter_speed_adaptive,0.020007,1,1,0,0,1,0,0.2329485,0.018342035,0.00028861388342603026,12152051.0
M3f,quarter_speed_adaptive,0.022018,1,1,0,0,1,0,0.23367500000000002,0.018410534,0.00029301730614166894,12197389.0
M3f,ramp_current_adaptive,0.001005,128,0,128,0,36,64,0.12965819999999986,0.043213334,0.0011146780139633997,28769054.0
M3f,ramp_current_adaptive,0.001508,74,0,74,0,74,56,0.16271880000000025,0.036056593,0.0010234938360838058,24034468.0
M3f,ramp_current_adaptive,0.002011,33,0,33,0,33,24,0.23742540000000018,0.032732297,0.0009261927688486164,21762330.0
M3f,ramp_current_adaptive,0.002513,16,4,12,0,12,16,0.23742540000000012,0.029309273,0.0019731916849490137,19514456.0
M3f,ramp_current_adaptive,0.003016,12,8,4,0,4,8,0.29896000000000006,0.025843551,0.0014366484744494732,17168596.0
M3f,ramp_current_adaptive,0.004022,16,16,0,0,0,12,0.324753,0.045934938,0.0034500349385640982,30538374.0
M3f,ramp_current_adaptive,0.005027,8,8,0,0,0,8,0.3007005,0.061731368,0.0031237252534303222,41046000.0
M3f,ramp_current_adaptive,0.006535,5,5,0,0,4,0,0.30139150000000003,0.05213511,0.0040188152,34648960.0
M3f,ramp_current_adaptive,0.00754,4,4,0,0,0,4,0.3016625,0.0097340643,0.0011594103990099336,6572308.0
M3f,ramp_current_adaptive,0.008043,8,8,0,0,4,4,0.2912975,0.027598767,0.0012242105346602886,18339280.0
M3f,ramp_current_adaptive,0.008546,16,16,0,0,8,4,0.2912974999999999,0.02980545,0.0013131629391710511,19828802.0
M3f,ramp_current_adaptive,0.009048,16,16,0,0,8,4,0.2851575,0.030901086,0.00134431980126426,20526030.0
M3f,ramp_current_adaptive,0.009551,4,4,0,0,0,0,0.2851575,0.014665593,0.0013135861584625344,9846880.0
M3f,ramp_current_adaptive,0.010053,12,12,0,0,8,0,0.2861485,0.030135531,0.0013114279758628955,20025992.0
M3f,ramp_current_adaptive,0.010556,12,12,0,0,0,0,0.2861485,0.028954741,0.0018006759740687038,19264712.0
M3f,ramp_current_adaptive,0.011059,5,5,0,0,1,0,0.2879125,0.028838126,0.0018026433675637796,19217282.0
M3f,ramp_current_adaptive,0.011561,5,5,0,0,1,0,0.2879125,0.028966231,0.0018125883827765999,19270356.0
M3f,ramp_current_adaptive,0.012064,17,13,4,0,1,4,0.28725449999999997,0.099716671,0.005915715228888521,66261244.0
M3f,ramp_current_adaptive,0.012567,9,5,4,0,1,4,0.28725449999999997,0.10065313,0.005940073092142757,66924212.0
M3f,ramp_current_adaptive,0.013069,13,9,4,0,1,4,0.28654050000000003,0.10153225,0.005962799882887193,67457792.0
M3f,ramp_current_adaptive,0.013572,9,5,4,0,1,4,0.28654050000000003,0.10234643,0.005983902198037656,68043200.0
M3f,ramp_current_adaptive,0.014075,9,5,4,0,1,4,0.28625649999999997,0.10310304,0.006003537366033679,68491984.0
M3f,ramp_current_adaptive,0.014577,9,5,4,0,1,4,0.28625649999999997,0.10381938,0.006021876291574577,69016216.0
M3f,ramp_current_adaptive,0.01508,9,5,4,0,1,4,0.28569449999999996,0.10451056,0.006039077769732982,69418312.0
M3f,ramp_current_adaptive,0.015583,13,9,4,0,5,4,0.28569449999999996,0.10517444,0.0060552580562244825,69911720.0
M3f,ramp_current_adaptive,0.016085,13,9,4,0,5,4,0.28517299999999995,0.10580301,0.006070473361439664,70269016.0
M3f,ramp_current_adaptive,0.016588,9,5,4,0,5,4,0.28517299999999995,0.10638908,0.0060847818406159155,70714608.0
M3f,ramp_current_adaptive,0.01709,13,9,4,0,5,4,0.2850614999999999,0.10693119,0.006098268346019539,71011168.0
M3f,ramp_current_adaptive,0.017593,10,6,4,0,5,4,0.2850614999999999,0.10743413,0.00611103162739442,71405328.0
M3f,ramp_current_adaptive,0.018096,9,5,4,0,4,4,0.28508599999999995,0.10790608,0.0061231578322423355,71652152.0
M3f,ramp_current_adaptive,0.018598,11,7,4,0,6,4,0.2850859999999999,0.10835321,0.006134702631895453,72013016.0
M3f,ramp_current_adaptive,0.019,8,4,4,0,4,4,0.28508599999999995,0.10869488,0.006143538201677118,72184424.0
M3f,ramp_current_adaptive,0.019503,9,5,4,0,5,4,0.28503150000000005,0.10910197,0.006154098902828594,72384256.0
M3f,ramp_current_adaptive,0.020006,9,5,4,0,5,4,0.28503150000000005,0.10948719,0.006164154160455672,72706384.0
M3f,ramp_improved_adaptive,0.001005,128,0,128,0,36,64,0.12965819999999986,0.043213334,0.0011146830641584277,28769054.0
M3f,ramp_improved_adaptive,0.001508,74,0,74,0,74,56,0.16271300000000008,0.036057126,0.0010235167068743296,24034824.0
M3f,ramp_improved_adaptive,0.002011,33,0,33,0,33,24,0.23728675,0.032733575,0.000926229607593293,21763184.0
M3f,ramp_improved_adaptive,0.002513,25,13,12,0,12,24,0.23728675,0.032827932,0.0021754089694496757,21848626.0
M3f,ramp_improved_adaptive,0.003016,17,13,4,0,4,4,0.29890900000000004,0.026024286,0.002204337911847421,17312318.0
M3f,ramp_improved_adaptive,0.003519,16,16,0,0,0,16,0.29890900000000004,0.03937488,0.0031065834763174855,26189484.0
M3f,ramp_improved_adaptive,0.004022,28,28,0,0,0,24,0.32815450000000007,0.047343954,0.0038202375728934594,31509010.0
M3f,ramp_improved_adaptive,0.004524,47,47,0,0,0,32,0.32815450000000007,0.063558541,0.004551848378834556,42308552.0
M3f,ramp_improved_adaptive,0.005027,42,42,0,0,0,16,0.3034730000000002,0.063576601,0.004474139726975907,42307444.0
M3f,ramp_improved_adaptive,0.00553,42,42,0,0,0,31,0.3034730000000002,0.077526219,0.005061883232602783,51607828.0
M3f,ramp_improved_adaptive,0.006032,58,58,0,0,0,38,0.3021445000000003,0.080785953,0.005214000821264201,53754644.0
M3f,ramp_improved_adaptive,0.006535,43,43,0,0,8,16,0.3021445000000002,0.074435443,0.0044870502793613225,49509292.0
M3f,ramp_improved_adaptive,0.007038,30,30,0,0,0,16,0.2993860000000001,0.076549269,0.004510978537276013,50839956.0
M3f,ramp_improved_adaptive,0.00754,56,56,0,0,16,28,0.29938600000000004,0.078668438,0.004220446100719474,52308684.0
M3f,ramp_improved_adaptive,0.008043,51,51,0,0,12,22,0.28971300000000033,0.077262372,0.004229843794695047,51288536.0
M3f,ramp_improved_adaptive,0.008546,57,57,0,0,20,20,0.28971300000000033,0.07834924,0.0048554905302247075,52063016.0
M3f,ramp_improved_adaptive,0.009048,46,46,0,0,16,14,0.2826485000000001,0.078401133,0.004238216905846058,52023588.0
M3f,ramp_improved_adaptive,0.009551,53,49,4,0,17,23,0.28264850000000014,0.096344247,0.005863719789805092,64088188.0
M3f,ramp_improved_adaptive,0.010053,43,39,4,0,10,12,0.282254,0.097648174,0.00589213794075397,64914828.0
M3f,ramp_improved_adaptive,0.010556,41,37,4,0,9,12,0.282254,0.098895505,0.00592002200436059,65774664.0
M3f,ramp_improved_adaptive,0.011059,38,34,4,0,8,6,0.2826194999999998,0.10010482,0.005947754358353068,66533616.0
