case,source,dp,time_mid,shell_index,r_over_R_min,r_over_R_max,shell_volume,pressure_mean_mid,storage_derivative,flux_in,flux_out,residual,abs_residual
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,4,0.8,0.9,0.000132,668.5275293933267,-13.949995226849815,0.3592845669333188,0.14494779211390946,-14.164332001669225,14.164332001669225
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,5,0.9,0.95,7.200000000000002e-05,665.3843566696203,-7.111498940162904,0.14494779211390946,0.34138383566246383,-6.91506289661435,6.91506289661435
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,6,0.95,1.0,4.800000000000001e-05,660.9549439801292,-4.5116655521033735,0.34138383566246383,28.222238482661606,23.36918909489577,23.36918909489577
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,0,0.0,0.2,7.000000000000001e-06,744.2525627411428,0.08275229816497537,0.0,0.0007506894611937236,0.08350298762616909,0.08350298762616909
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,1,0.2,0.4,2.6000000000000005e-05,743.3735185238058,1.9844814147033856,0.0007506894611937236,0.07684062081970087,2.0605713460618924,2.0605713460618924
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,2,0.4,0.6,9.000000000000002e-05,720.878763075684,9.946847192951044,0.07684062081970087,0.4435604702032803,10.313567042334624,10.313567042334624
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,3,0.6,0.8,0.00013400000000000003,663.1674802368923,10.27382855324821,0.4435604702032803,0.5714359876954732,10.401704070740402,10.401704070740402
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,4,0.8,0.9,0.000132,631.8014706469896,4.31643352157006,0.5714359876954732,0.5468638587183412,4.291861392592928,4.291861392592928
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,5,0.9,0.95,7.200000000000002e-05,619.9428038867982,0.607546600077108,0.5468638587183412,0.41802653122205635,0.4787092725808233,0.4787092725808233
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,6,0.95,1.0,4.800000000000001e-05,614.5189617814864,0.08047886004605476,0.41802653122205635,26.23945981412633,25.901912142950327,25.901912142950327
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,0,0.0,0.2,7.000000000000001e-06,673.2716684915,-1.0715408747769155,0.0,-0.005853978871880047,-1.0773948536487956,1.0773948536487956
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,1,0.2,0.4,2.6000000000000005e-05,680.1265752695385,-5.25696007064558,-0.005853978871880047,0.03288424424043216,-5.218221847533268,5.218221847533268
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,2,0.4,0.6,9.000000000000002e-05,670.4998566877025,-18.969934904231312,0.03288424424043216,0.3623690804474921,-18.64045006802425,18.64045006802425
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,3,0.6,0.8,0.00013400000000000003,623.3523178546006,-20.89120518852597,0.3623690804474921,0.5452948799689723,-20.708279389004492,20.708279389004492
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,4,0.8,0.9,0.000132,593.4211885545216,-14.398418071233303,0.5452948799689723,0.6413800744044157,-14.30233287679786,14.30233287679786
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,5,0.9,0.95,7.200000000000002e-05,579.512950795284,-6.400480774383601,0.6413800744044157,-0.21322588418667987,-7.255086732974696,7.255086732974696
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,6,0.95,1.0,4.800000000000001e-05,582.2795300485509,-3.16006636886377,-0.21322588418667987,24.862862302905132,21.916021818228042,21.916021818228042
