case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,5,0.9,0.35938049682740014
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,6,0.95,1.988943209651195
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,7,1.0,23.620461559731925
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,0,0.0,0.0
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,1,0.2,0.017808540911371056
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,2,0.4,-0.06477199276101715
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,3,0.6,0.194725881024107
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,4,0.8,-0.22735450626802906
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,5,0.9,-0.02386254934826254
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,6,0.95,0.0712688982935283
mode5_mls_dp008,C5j mode5 MLS,0.008,0.000523,7,1.0,50.13921031453901
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,0,0.0,0.0
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,1,0.2,0.01408046575024887
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,2,0.4,-0.012403597306550673
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,3,0.6,0.3902221410583592
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,4,0.8,-0.045617965163157935
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,5,0.9,0.094386108389126
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,6,0.95,0.24909174693128103
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0015285000000000001,7,1.0,42.58462906993851
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,0,0.0,0.0
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,1,0.2,0.004024417671821771
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,2,0.4,0.12190767878874544
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,3,0.6,0.3825187225045466
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,4,0.8,0.20420239078492755
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,5,0.9,0.11544300388319957
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,6,0.95,-0.2002060433131301
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0025335,7,1.0,35.79093121130001
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,0,0.0,0.0
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,1,0.2,0.01747818804415341
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,2,0.4,0.12149713307435152
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,3,0.6,0.4506386465516027
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,4,0.8,0.23814058590954168
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,5,0.9,0.2879034221781526
mode5_mls_dp008,C5j mode5 MLS,0.008,0.0035390000000000005,6,0.95,-0.9206565193598677
