dp_label,dp,field,operator,r_over_R_min,r_over_R_max,count,bias,rmse,p95_abs_error
dp=0.008,0.008,constant,mode8_blend025,0.0,0.2,7,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend025,0.2,0.4,74,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend025,0.4,0.6,170,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend025,0.6,0.8,243,-6.172168480865974e-14,1.8764713266104852e-13,4.242134527935524e-13
dp=0.008,0.008,constant,mode8_blend025,0.8,0.9,245,-3.1215821650241705e-14,2.9248664125473196e-13,5.523114593124427e-13
dp=0.008,0.008,constant,mode8_blend025,0.9,0.95,156,8.309851370893013e-14,6.436911552783354e-13,1.3810884301582204e-12
dp=0.008,0.008,constant,mode8_blend025,0.95,1.0,126,-1.497170673744826e-13,8.741452745018365e-13,1.821425394856736e-12
dp=0.008,0.008,constant,mode8_blend025,1.0,1.12,192,-2.396515997017629e-13,1.2080894805760769e-12,2.3971937886744757e-12
dp=0.008,0.008,constant,mode8_blend050,0.0,0.2,7,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend050,0.2,0.4,74,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend050,0.4,0.6,170,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend050,0.6,0.8,243,-1.2344336961731947e-13,3.7529426532209705e-13,8.484269055871048e-13
