case,label,idp,x,y,z,class,fi,fi_selected
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,399,0.029999999,0.0099999998,0.029999999,lateral,0.5752098401997556,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,400,0.029999999,0.0099999998,0.039999999,lateral,0.5752098103323908,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,155,-0.0099999998,0.029999999,0.0099999998,edge,0.5479757027029417,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,156,-0.0099999998,0.029999999,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,157,-0.0099999998,0.029999999,0.029999999,lateral,0.5752098401997556,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,158,-0.0099999998,0.029999999,0.039999999,lateral,0.5752098103323909,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,232,0.0,0.029999999,0.0099999998,edge,0.6353305999065862,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,233,0.0,0.029999999,0.02,lateral,0.6669146473889812,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,234,0.0,0.029999999,0.029999999,lateral,0.6673919415031053,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,235,0.0,0.029999999,0.039999999,lateral,0.6673919072698873,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,309,0.0099999998,0.029999999,0.0099999998,edge,0.5479757027029416,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,310,0.0099999998,0.029999999,0.02,lateral,0.5748032154007807,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,311,0.0099999998,0.029999999,0.029999999,lateral,0.5752098401997556,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,312,0.0099999998,0.029999999,0.039999999,lateral,0.5752098103323909,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,5,-0.029999999,-0.0099999998,0.050000001,lateral,0.5752098271863018,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,6,-0.029999999,-0.0099999998,0.059999999,lateral,0.5752098527439811,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,7,-0.029999999,-0.0099999998,0.07,lateral,0.5752098278281775,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,38,-0.02,-0.02,0.050000001,lateral,0.6467570684106534,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,39,-0.02,-0.02,0.059999999,lateral,0.6467570973800869,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,40,-0.02,-0.02,0.07,lateral,0.6467570692375544,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,49,-0.02,-0.0099999998,0.050000001,lateral,0.8622304925582281,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,50,-0.02,-0.0099999998,0.059999999,lateral,0.8622305310652509,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,51,-0.02,-0.0099999998,0.07,lateral,0.8622304933661006,0
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,93,-0.0099999998,-0.029999999,0.050000001,lateral,0.5752098271863018,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,94,-0.0099999998,-0.029999999,0.059999999,lateral,0.5752098527439811,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,95,-0.0099999998,-0.029999999,0.07,lateral,0.5752098278281774,1
CaseT3_ConfinementOnly_Legacy,confinement_only_legacy,104,-0.0099999998,-0.02,0.050000001,lateral,0.8622304925582281,0
