case,part,idp,class,fi,fi_selected
CaseT4_StressPath_SelectedConfinement,0,140,lateral,0.6673919265380412,1
CaseT4_StressPath_SelectedConfinement,0,141,lateral,0.6673919560812622,1
CaseT4_StressPath_SelectedConfinement,0,142,lateral,0.667391927055508,1
CaseT4_StressPath_SelectedConfinement,0,149,lateral,0.9322990469377254,0
CaseT4_StressPath_SelectedConfinement,0,150,lateral,0.9322990887757496,0
CaseT4_StressPath_SelectedConfinement,0,151,lateral,0.9322990477932932,0
CaseT4_StressPath_SelectedConfinement,0,158,interior,0.99834396612909,0
CaseT4_StressPath_SelectedConfinement,0,159,interior,0.9983440113056745,0
CaseT4_StressPath_SelectedConfinement,0,160,interior,0.9983439678147554,0
CaseT4_StressPath_SelectedConfinement,0,203,lateral,0.5752098271863018,1
CaseT4_StressPath_SelectedConfinement,0,204,lateral,0.5752098527439811,1
CaseT4_StressPath_SelectedConfinement,0,205,lateral,0.5752098278281774,1
CaseT4_StressPath_SelectedConfinement,0,212,lateral,0.8622304925582281,0
CaseT4_StressPath_SelectedConfinement,0,213,lateral,0.8622305310652509,0
CaseT4_StressPath_SelectedConfinement,0,214,lateral,0.8622304933661006,0
CaseT4_StressPath_SelectedConfinement,0,221,interior,0.9767008058283202,0
CaseT4_StressPath_SelectedConfinement,0,222,interior,0.976700849907463,0
CaseT4_StressPath_SelectedConfinement,0,223,interior,0.9767008072306682,0
CaseT4_StressPath_SelectedConfinement,0,266,lateral,0.6467570684106534,1
CaseT4_StressPath_SelectedConfinement,0,267,lateral,0.6467570973800869,1
CaseT4_StressPath_SelectedConfinement,0,268,lateral,0.6467570692375544,1
CaseT4_StressPath_SelectedConfinement,0,275,lateral,0.8622304925582283,0
CaseT4_StressPath_SelectedConfinement,0,276,lateral,0.862230531065251,0
CaseT4_StressPath_SelectedConfinement,0,277,lateral,0.8622304933661008,0
CaseT4_StressPath_SelectedConfinement,0,311,lateral,0.5752098271863018,1
CaseT4_StressPath_SelectedConfinement,0,312,lateral,0.575209852743981,1
CaseT4_StressPath_SelectedConfinement,0,313,lateral,0.5752098278281775,1
CaseT4_StressPath_SelectedConfinement,0,14,lateral,0.6673919265380412,1
CaseT4_StressPath_SelectedConfinement,0,15,lateral,0.6673919560812622,1
CaseT4_StressPath_SelectedConfinement,0,16,lateral,0.6673919270555079,1
CaseT4_StressPath_SelectedConfinement,0,23,lateral,0.5752098271863018,1
CaseT4_StressPath_SelectedConfinement,0,24,lateral,0.5752098527439811,1
CaseT4_StressPath_SelectedConfinement,0,25,lateral,0.5752098278281775,1
CaseT4_StressPath_SelectedConfinement,0,50,lateral,0.9322990469377254,0
CaseT4_StressPath_SelectedConfinement,0,51,lateral,0.9322990887757497,0
CaseT4_StressPath_SelectedConfinement,0,52,lateral,0.9322990477932932,0
CaseT4_StressPath_SelectedConfinement,0,59,lateral,0.8622304925582281,0
CaseT4_StressPath_SelectedConfinement,0,60,lateral,0.8622305310652509,0
CaseT4_StressPath_SelectedConfinement,0,61,lateral,0.8622304933661006,0
CaseT4_StressPath_SelectedConfinement,0,68,lateral,0.6467570684106534,1
CaseT4_StressPath_SelectedConfinement,0,69,lateral,0.6467570973800869,1
CaseT4_StressPath_SelectedConfinement,0,70,lateral,0.6467570692375545,1
CaseT4_StressPath_SelectedConfinement,0,104,interior,0.9983439661290902,0
CaseT4_StressPath_SelectedConfinement,0,105,interior,0.9983440113056744,0
CaseT4_StressPath_SelectedConfinement,0,106,interior,0.9983439678147555,0
CaseT4_StressPath_SelectedConfinement,0,113,interior,0.9767008058283201,0
CaseT4_StressPath_SelectedConfinement,0,114,interior,0.9767008499074631,0
CaseT4_StressPath_SelectedConfinement,0,115,interior,0.976700807230668,0
CaseT4_StressPath_SelectedConfinement,0,122,lateral,0.8622304925582283,0
CaseT4_StressPath_SelectedConfinement,0,123,lateral,0.8622305310652509,0
CaseT4_StressPath_SelectedConfinement,0,124,lateral,0.8622304933661007,0
CaseT4_StressPath_SelectedConfinement,0,167,interior,1.0013239035554107,0
CaseT4_StressPath_SelectedConfinement,0,168,interior,1.0013239488805517,0
CaseT4_StressPath_SelectedConfinement,0,169,interior,1.001323905380118,0
CaseT4_StressPath_SelectedConfinement,0,176,interior,0.9983439661290903,0
CaseT4_StressPath_SelectedConfinement,0,177,interior,0.9983440113056745,0
CaseT4_StressPath_SelectedConfinement,0,178,interior,0.9983439678147554,0
CaseT4_StressPath_SelectedConfinement,0,185,lateral,0.9322990469377255,0
CaseT4_StressPath_SelectedConfinement,0,186,lateral,0.9322990887757496,0
CaseT4_StressPath_SelectedConfinement,0,187,lateral,0.9322990477932932,0
CaseT4_StressPath_SelectedConfinement,0,230,interior,0.9983439661290903,0
CaseT4_StressPath_SelectedConfinement,0,231,interior,0.9983440113056744,0
CaseT4_StressPath_SelectedConfinement,0,232,interior,0.9983439678147557,0
CaseT4_StressPath_SelectedConfinement,0,239,interior,0.9767008058283202,0
CaseT4_StressPath_SelectedConfinement,0,240,interior,0.9767008499074631,0
CaseT4_StressPath_SelectedConfinement,0,241,interior,0.9767008072306681,0
CaseT4_StressPath_SelectedConfinement,0,248,lateral,0.8622304925582283,0
CaseT4_StressPath_SelectedConfinement,0,249,lateral,0.862230531065251,0
CaseT4_StressPath_SelectedConfinement,0,250,lateral,0.8622304933661006,0
CaseT4_StressPath_SelectedConfinement,0,284,lateral,0.9322990469377255,0
CaseT4_StressPath_SelectedConfinement,0,285,lateral,0.9322990887757496,0
CaseT4_StressPath_SelectedConfinement,0,286,lateral,0.9322990477932933,0
CaseT4_StressPath_SelectedConfinement,0,293,lateral,0.8622304925582283,0
CaseT4_StressPath_SelectedConfinement,0,294,lateral,0.8622305310652509,0
CaseT4_StressPath_SelectedConfinement,0,295,lateral,0.8622304933661006,0
CaseT4_StressPath_SelectedConfinement,0,302,lateral,0.6467570684106534,1
CaseT4_StressPath_SelectedConfinement,0,303,lateral,0.6467570973800869,1
CaseT4_StressPath_SelectedConfinement,0,304,lateral,0.6467570692375545,1
CaseT4_StressPath_SelectedConfinement,0,320,lateral,0.6673919265380412,1
CaseT4_StressPath_SelectedConfinement,0,321,lateral,0.6673919560812622,1
CaseT4_StressPath_SelectedConfinement,0,322,lateral,0.6673919270555079,1
CaseT4_StressPath_SelectedConfinement,0,329,lateral,0.5752098271863018,1
CaseT4_StressPath_SelectedConfinement,0,330,lateral,0.575209852743981,1
CaseT4_StressPath_SelectedConfinement,0,331,lateral,0.5752098278281775,1
CaseT4_StressPath_SelectedConfinement,0,131,lateral,0.5752098271863019,1
CaseT4_StressPath_SelectedConfinement,0,132,lateral,0.575209852743981,1
CaseT4_StressPath_SelectedConfinement,0,133,lateral,0.5752098278281775,1
CaseT4_StressPath_SelectedConfinement,0,194,lateral,0.6673919265380414,1
CaseT4_StressPath_SelectedConfinement,0,195,lateral,0.6673919560812622,1
CaseT4_StressPath_SelectedConfinement,0,196,lateral,0.6673919270555079,1
CaseT4_StressPath_SelectedConfinement,0,257,lateral,0.5752098271863019,1
CaseT4_StressPath_SelectedConfinement,0,258,lateral,0.5752098527439808,1
CaseT4_StressPath_SelectedConfinement,0,259,lateral,0.5752098278281774,1
CaseT4_StressPath_SelectedConfinement,0,8,lateral,0.5748031333512359,1
CaseT4_StressPath_SelectedConfinement,0,35,lateral,0.6463374819455412,1
CaseT4_StressPath_SelectedConfinement,0,44,lateral,0.8616695424975179,0
CaseT4_StressPath_SelectedConfinement,0,80,lateral,0.5748031333512358,1
CaseT4_StressPath_SelectedConfinement,0,89,lateral,0.8616695424975179,0
CaseT4_StressPath_SelectedConfinement,0,98,interior,0.9761269579820341,0
CaseT4_StressPath_SelectedConfinement,0,333,edge,0.5479756403188812,1
CaseT4_StressPath_SelectedConfinement,0,334,edge,0.40717479695653136,1
CaseT4_StressPath_SelectedConfinement,0,339,edge,0.6164900636203943,1
CaseT4_StressPath_SelectedConfinement,0,340,edge,0.45787849177400497,1
CaseT4_StressPath_SelectedConfinement,0,341,edge,0.8212954835791615,0
CaseT4_StressPath_SelectedConfinement,0,342,edge,0.6096103056816791,1
CaseT4_StressPath_SelectedConfinement,0,349,edge,0.5479756403188812,1
CaseT4_StressPath_SelectedConfinement,0,350,edge,0.40717479695653136,1
CaseT4_StressPath_SelectedConfinement,0,351,edge,0.8212954835791616,0
CaseT4_StressPath_SelectedConfinement,0,352,edge,0.6096103056816791,1
CaseT4_StressPath_SelectedConfinement,0,353,top,0.9314791684466723,0
CaseT4_StressPath_SelectedConfinement,0,354,top,0.6912884734398795,1
CaseT4_StressPath_SelectedConfinement,0,143,lateral,0.6669145527061848,1
CaseT4_StressPath_SelectedConfinement,0,152,lateral,0.9317252046304484,0
