case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
ramp_improved_adaptive,23,0.011561,0.00025328339100003094,-120531.01379051177,89625.71224855132,67351600.0,0.101282,0.005974870099120746
ramp_improved_adaptive,24,0.012064,0.00026770155099997694,-128341.96079606492,98697.93928536747,68070912.0,0.10243794,0.006001990337260907
ramp_improved_adaptive,25,0.012567,0.0002819522850000533,-135525.66587068173,96636.61971182635,68858048.0,0.10356046,0.006028473837631915
ramp_improved_adaptive,26,0.013069,0.00029627965500003683,-143296.6040510283,105722.65375485343,69514672.0,0.10462818,0.00605409957649439
ramp_improved_adaptive,27,0.013572,0.00031054381900014194,-150422.9379033412,102960.7494385349,70228560.0,0.10563311,0.006078678309733754
ramp_improved_adaptive,28,0.014075,0.00032482127600000354,-158313.3547525596,111887.69371785544,70803664.0,0.1065843,0.006102181403732839
ramp_improved_adaptive,29,0.014577,0.00033905652400009756,-165498.49101089267,108411.53088631365,71468464.0,0.10750824,0.006124574357016686
ramp_improved_adaptive,30,0.01508,0.00035331255900009073,-173506.30862019816,117209.63837896897,72007120.0,0.10841022,0.006146018141827667
ramp_improved_adaptive,31,0.015582,0.0003675922739999893,-180672.31796763747,113188.05013881442,72644664.0,0.10928601,0.006166599598728556
ramp_improved_adaptive,32,0.016085,0.0003818300150000564,-188693.48839517732,121944.2009055317,73138784.0,0.11012647,0.006186384618055299
ramp_improved_adaptive,33,0.016588,0.00039610824400002076,-195785.05728665623,117452.4477961149,73731344.0,0.1109279,0.006205321752730624
ramp_improved_adaptive,34,0.01709,0.0004103483919999651,-203815.33899424545,126134.66334817225,74165400.0,0.11168346,0.00622349248964253
ramp_improved_adaptive,35,0.017593,0.00042462124100001164,-210867.07192960265,121176.50160646669,74704088.0,0.11239757,0.0062411907558044405
ramp_improved_adaptive,36,0.018096,0.0004388672919999892,-218935.7005259077,129759.83504221968,75082752.0,0.11307494,0.0062584331203699274
ramp_improved_adaptive,37,0.018598,0.00045314694600007144,-225960.48601805847,124397.13712206366,75578912.0,0.11371894,0.006275180149548519
ramp_improved_adaptive,38,0.019,0.00046458090999998425,-232433.46969086537,131186.29811190083,75846352.0,0.11421108,0.006288067661515105
ramp_improved_adaptive,39,0.019503,0.0004787969000000225,-239418.14903342846,125556.5121211971,76165184.0,0.1148048,0.006303559200371075
ramp_improved_adaptive,40,0.020006,0.0004930488300000646,-247519.36891481664,133954.3871292905,76617312.0,0.11537866,0.006318300925761995
half_speed_adaptive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
half_speed_adaptive,1,0.001005,1.5109332800189446e-06,-16722.436474163125,3245.3414496107807,28766642.0,0.04320972,0.001710203263384529
half_speed_adaptive,2,0.002011,1.1261225000142039e-05,-20400.368640403747,13111.545828081902,32201168.0,0.048358429,0.002677377637568407
half_speed_adaptive,3,0.003016,2.4330325600063762e-05,-20548.15638174207,22616.835163373795,35422088.0,0.053272352,0.0029259590752676447
half_speed_adaptive,4,0.004022,3.8348695400036714e-05,-29515.08374928009,25441.304138086376,36343524.0,0.054665942,0.003008376923732031
half_speed_adaptive,5,0.005027,5.253344770014823e-05,-38230.17827669392,31042.80458436236,35647724.0,0.053629488,0.0030556682937390913
