case,part,time,idp,return_status,region,x,y,z,p_proxy,q_proxy,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,trigger_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
ramp_improved_adaptive,17,0.008546,266,-3,interior,-0.010001637,-0.010001636,0.079990871,42.311517333333335,68.42869032109158,119.16355,0.80112785,-0.00062157313,0.0021021832,1.9280461e-07,99.0,1387.507,32.0,5.0,0.0021021832,-126231.2057662,-23812812.0,0.035753071,0.0018822765421543377,0.289713
ramp_improved_adaptive,17,0.008546,332,-3,lateral_boundary,-9.7932031e-11,-0.0200045,0.079990923,43.12334833333333,68.80604816697208,119.36253,0.80085945,-0.00047333402,0.0016313046,1.5794892e-07,88.0,1219.333,32.0,5.0,0.0016313046,-122880.0290091,-23840918.0,0.03575933,0.001999379631758376,0.289713
ramp_improved_adaptive,17,0.008546,342,-3,interior,-1.55258e-09,-0.0099999327,0.069993682,42.423530666666665,68.6605821740442,119.59303,0.80055189,-0.00030193894,0.0008010735,4.2240453e-07,193.0,1483.4994,32.0,5.0,0.0008010735,-75935.91884948,-12903822.0,0.019252565,0.001274235764808172,0.289713
ramp_improved_adaptive,17,0.008546,343,-3,interior,-2.7437987e-09,-0.010000999,0.079991117,42.76136366666666,68.52777070243563,119.02528,0.80131298,-0.00072470971,0.0025466026,7.7403712e-07,249.0,2945.5898,32.0,5.0,0.0025466026,-127424.3559208,-23942864.0,0.03595838,0.0017728493986261958,0.289713
ramp_improved_adaptive,17,0.008546,344,-3,top_cap_zone,-3.4356096e-09,-0.010003022,0.089984797,42.222639666666666,68.40768744913443,119.18918,0.80109304,-0.00060246349,0.003021433,1.5093511e-07,70.0,1530.1937,32.0,5.0,0.003021433,-181509.6401405,-52063016.0,0.07834924,0.0028975657830884734,0.289713
ramp_improved_adaptive,17,0.008546,345,-3,top_cap_zone,-6.883782e-09,-0.010003671,0.099976733,53.36624366666666,71.77010287577187,120.39452,0.79947126,0.00029180598,0.0024207789,1.6184563e-07,71.0,1516.3207,32.0,5.0,0.0024207789,-211198.370619,-50499596.0,0.076006681,0.00414378235536311,0.289713
ramp_improved_adaptive,17,0.008546,408,-3,lateral_boundary,0.010002666,-0.020003837,0.069991902,42.593075666666664,68.7742539833288,119.71009,0.80039519,-0.00021500251,0.00060617732,4.6026196e-07,205.0,1517.1757,32.0,5.0,0.00060617732,-69150.87700832,-13102348.0,0.019501913,0.0018572044214769491,0.289713
ramp_improved_adaptive,17,0.008546,411,-3,edge,0.010008913,-0.020013614,0.099977732,32.290634000000004,62.737496474123574,116.93836,0.80415434,-0.0022946517,0.0059598414,6.6834195e-07,197.0,3175.0969,32.0,5.0,0.0059598414,-212285.5105682,-50463464.0,0.075935267,0.004855490419932612,0.289713
ramp_improved_adaptive,17,0.008546,419,-3,interior,0.010000222,-0.010000222,0.069993459,43.112868,68.9163422870827,119.61526,0.80052143,-0.00028540462,0.00085262087,2.8463342e-07,154.0,1193.7527,32.0,5.0,0.00085262087,-74139.72145136,-11906366.0,0.017743949,0.0013144218788409012,0.289713
ramp_improved_adaptive,17,0.008546,420,-3,interior,0.010001638,-0.010001638,0.079990864,42.31733166666667,68.43281636418806,119.16806,0.80112159,-0.00061819959,0.0020956816,1.936765e-07,97.0,1394.2743,32.0,5.0,0.0020956816,-126201.6913876,-24050324.0,0.036109194,0.0018868525792928425,0.289713
ramp_improved_adaptive,17,0.008546,422,-3,top_cap_zone,0.010004815,-0.010004815,0.09997686,51.38631,71.44076541271825,120.3598,0.79951936,0.00026616215,0.0028027529,3.7668869e-07,119.0,2357.47,32.0,5.0,0.0028027529,-211716.0213361,-50567008.0,0.076110736,0.004239763322893827,0.289713
ramp_improved_adaptive,17,0.008546,485,-3,lateral_boundary,0.020003837,-0.010002666,0.069991902,42.59307033333334,68.77425094162714,119.71009,0.80039519,-0.0002150025,0.0006061772,4.6026182e-07,205.0,1517.1754,32.0,5.0,0.0006061772,-69150.87749164,-13102351.0,0.019501917,0.0018572043270509728,0.289713
ramp_improved_adaptive,17,0.008546,488,-3,edge,0.020013614,-0.010008913,0.099977732,32.290634000000004,62.73749699363424,116.93836,0.80415434,-0.0022946522,0.0059598414,6.6834195e-07,197.0,3175.0967,32.0,5.0,0.0059598414,-212285.5138925,-50463460.0,0.075935267,0.0048554905302247075,0.289713
ramp_improved_adaptive,17,0.008546,211,-3,lateral_boundary,-0.0200045,-8.4233931e-10,0.079990923,43.141975,68.80172477199974,119.33866,0.80089152,-0.00049110613,0.001694415,1.5710299e-07,87.0,1211.9626,32.0,5.0,0.001694415,-122990.2360309,-23737012.0,0.035604168,0.001996809043807075,0.289713
ramp_improved_adaptive,17,0.008546,221,-3,lateral_boundary,-0.020003837,0.010002665,0.069991902,42.60260866666667,68.77738461391849,119.7094,0.80039591,-0.00021550947,0.00060862396,4.5756639e-07,206.0,1507.6912,32.0,5.0,0.00060862396,-69237.02555805,-12987624.0,0.019330101,0.0018534334405782248,0.289713
ramp_improved_adaptive,17,0.008546,277,-3,interior,-0.010000999,6.5572675e-10,0.079991117,42.687525666666666,68.50109324839313,119.0239,0.80131477,-0.0007257351,0.0025473156,1.478839e-07,79.0,1230.6388,32.0,5.0,0.0025473156,-127456.9903328,-23731312.0,0.035641246,0.0017700293814420722,0.289713
ramp_improved_adaptive,17,0.008546,278,-3,top_cap_zone,-0.010003024,5.435616e-09,0.089984819,42.27226066666666,68.43154723974959,119.20207,0.80107564,-0.00059284538,0.0030090376,1.501114e-07,68.0,1521.5706,32.0,5.0,0.0030090376,-181500.8526292,-51610980.0,0.077671021,0.002884708500052344,0.289713
ramp_improved_adaptive,17,0.008546,279,-3,top_cap_zone,-0.010003676,1.4940509e-08,0.099976748,42.899518,68.94212965538387,119.83993,0.80022132,-0.00011865261,0.0039295107,6.8917171e-07,221.0,3266.8982,32.0,5.0,0.0039295107,-211140.1460494,-49931140.0,0.07515344,0.004128918676754527,0.289713
ramp_improved_adaptive,17,0.008546,287,-3,interior,-0.01000022,0.01000022,0.069993466,42.247353000000004,68.58064427551768,119.55832,0.80059832,-0.00032772616,0.00098220445,4.1003577e-07,191.0,1436.4705,32.0,5.0,0.00098220445,-74185.40685904,-11697811.0,0.017431254,0.0013118195972307556,0.289713
ramp_improved_adaptive,17,0.008546,288,-3,interior,-0.010001635,0.010001635,0.079990871,42.31044433333333,68.42920177886191,119.16557,0.80112505,-0.00062007899,0.0020972837,1.9226817e-07,96.0,1383.4703,32.0,5.0,0.0020972837,-126293.0226023,-23816914.0,0.035759643,0.0018797289496596606,0.289713
ramp_improved_adaptive,17,0.008546,290,-3,top_cap_zone,-0.010004789,0.010004789,0.09997689,51.187500666666665,71.40411291501795,120.35786,0.79952216,0.00026472908,0.002803684,4.1858087e-07,126.0,2485.0164,32.0,5.0,0.002803684,-211678.5866746,-49829084.0,0.075003281,0.004206043964787798,0.289713
