case,part,time,region,status_-6,status_-5,status_-4,status_-3,status_-2,status_-1,status_0,status_1,status_2
ramp_current_adaptive,11,0.00553,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,11,0.00553,lateral_boundary,0,0,0,0,0,0,60,136,0
ramp_current_adaptive,11,0.00553,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,11,0.00553,interior,0,0,0,0,0,0,3,60,0
ramp_current_adaptive,11,0.00553,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,12,0.006032,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,12,0.006032,lateral_boundary,0,0,0,0,0,0,24,172,0
ramp_current_adaptive,12,0.006032,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,12,0.006032,interior,0,0,0,0,0,0,2,61,0
ramp_current_adaptive,12,0.006032,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,13,0.006535,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,13,0.006535,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,13,0.006535,bottom_cap_zone,0,0,0,4,0,0,0,14,0
ramp_current_adaptive,13,0.006535,interior,0,0,0,0,0,0,0,63,0
ramp_current_adaptive,13,0.006535,top_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,14,0.007038,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,14,0.007038,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,14,0.007038,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,14,0.007038,interior,0,0,0,0,0,0,0,63,0
ramp_current_adaptive,14,0.007038,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,15,0.00754,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,15,0.00754,lateral_boundary,0,0,0,4,0,0,0,188,4
ramp_current_adaptive,15,0.00754,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,15,0.00754,interior,0,0,0,0,0,0,0,63,0
ramp_current_adaptive,15,0.00754,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,16,0.008043,edge,0,0,0,4,0,0,0,108,0
ramp_current_adaptive,16,0.008043,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,16,0.008043,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,16,0.008043,interior,0,0,0,4,0,0,1,58,0
ramp_current_adaptive,16,0.008043,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,17,0.008546,edge,0,0,0,4,0,0,0,108,0
ramp_current_adaptive,17,0.008546,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,17,0.008546,bottom_cap_zone,0,0,0,4,0,0,0,14,0
ramp_current_adaptive,17,0.008546,interior,0,0,0,8,0,0,1,54,0
ramp_current_adaptive,17,0.008546,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,18,0.009048,edge,0,0,0,4,0,0,0,108,0
ramp_current_adaptive,18,0.009048,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,18,0.009048,bottom_cap_zone,0,0,0,4,0,0,0,14,0
ramp_current_adaptive,18,0.009048,interior,0,0,0,8,0,0,2,53,0
ramp_current_adaptive,18,0.009048,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,19,0.009551,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,19,0.009551,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,19,0.009551,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,19,0.009551,interior,0,0,0,4,0,0,6,53,0
ramp_current_adaptive,19,0.009551,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,20,0.010053,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,20,0.010053,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,20,0.010053,bottom_cap_zone,0,0,0,8,0,0,0,10,0
ramp_current_adaptive,20,0.010053,interior,0,0,0,4,0,0,6,52,1
