case,time,status,count
improved_adaptive,0.003519,0,136
improved_adaptive,0.003519,1,0
improved_adaptive,0.003519,2,197
improved_adaptive,0.004021,-6,0
improved_adaptive,0.004021,-5,0
improved_adaptive,0.004021,-4,0
improved_adaptive,0.004021,-3,43
improved_adaptive,0.004021,-2,0
improved_adaptive,0.004021,-1,0
improved_adaptive,0.004021,0,96
improved_adaptive,0.004021,1,0
improved_adaptive,0.004021,2,268
improved_adaptive,0.004524,-6,0
improved_adaptive,0.004524,-5,0
improved_adaptive,0.004524,-4,0
improved_adaptive,0.004524,-3,33
improved_adaptive,0.004524,-2,0
improved_adaptive,0.004524,-1,0
improved_adaptive,0.004524,0,71
improved_adaptive,0.004524,1,0
improved_adaptive,0.004524,2,303
improved_adaptive,0.005027,-6,0
improved_adaptive,0.005027,-5,0
improved_adaptive,0.005027,-4,0
improved_adaptive,0.005027,-3,32
improved_adaptive,0.005027,-2,0
improved_adaptive,0.005027,-1,0
improved_adaptive,0.005027,0,35
improved_adaptive,0.005027,1,0
improved_adaptive,0.005027,2,340
improved_adaptive,0.005529,-6,0
improved_adaptive,0.005529,-5,0
improved_adaptive,0.005529,-4,0
