case,part,time,axial_strain,MccPc_mean,MccPc_min,MccPc_max,MccVoidRatio_mean,MccPlasticVolStrain_mean,MccEqPlasticStrain_mean,Kplastic_max
improved_adaptive,25,0.012566,0.00032994909399994277,117.81827149877147,102.80707,120.72883,0.8030461189926293,-0.0016834316286732198,0.0035953001016240794,0.019785825
improved_adaptive,26,0.013069,0.00034428723799995176,117.71407918918905,101.87131,120.75699,0.8031964827764134,-0.0017664288123120397,0.0037600062353832942,0.020879904
improved_adaptive,27,0.013572,0.00035865078100008607,117.61175852579854,100.94324,120.78536,0.8033447410565122,-0.0018482091625798532,0.00392296696265602,0.021972978
improved_adaptive,28,0.014074,0.0003729807820000708,117.51004710073718,100.02341,120.81393,0.8034928394348894,-0.0019298059815110566,0.004085266919584766,0.023064656
improved_adaptive,29,0.014577,0.0003873376769999992,117.40923512285023,99.112175,120.84264,0.8036402954054049,-0.002010978418196561,0.004245625269781327,0.024154613
improved_adaptive,30,0.015079,0.0004016422890000537,117.3090134619165,98.209702,120.8714,0.8037875897542992,-0.002092030788223588,0.004403286628724817,0.025242589
improved_adaptive,31,0.015582,0.0004159961070000773,117.21341548157245,97.559868,120.90015,0.8039279831695327,-0.0021693169757149885,0.004555025863565111,0.02604856
improved_adaptive,32,0.016085,0.00043030084299996996,117.12189600000004,97.382362,120.92887,0.8040622379361168,-0.0022432606342899257,0.004701577628356266,0.026264841
improved_adaptive,33,0.016587,0.00044464801700005996,117.031080014742,97.205566,120.95761,0.8041959690663388,-0.0023169028050000007,0.004846842071697787,0.026480576
improved_adaptive,34,0.01709,0.00045894857500006214,116.93806803439801,97.011658,120.98639,0.8043334896560191,-0.002392605484329239,0.004996333869560196,0.026894949
improved_adaptive,35,0.017593,0.00047322309000008556,116.84364161425074,96.287575,121.01521,0.804473551523341,-0.0024696680265208853,0.005147673862066338,0.027864803
improved_adaptive,36,0.018095,0.00048753211000007735,116.74917220638814,95.516434,121.04405,0.8046146092628983,-0.0025472113364570026,0.005297919278651106,0.028829595
ramp_improved_adaptive,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.0,0.0,0.0
ramp_improved_adaptive,1,0.000503,-2.0285726015645267e-08,120.0,120.0,120.0,0.8000175002702695,0.0,0.0,0.0
ramp_improved_adaptive,2,0.001005,2.093348008824769e-08,119.99714044226035,119.94131,120.0,0.800047759459459,-2.118526930638821e-06,2.258046746240787e-06,4.6987607e-05
ramp_improved_adaptive,3,0.001508,7.085143700902297e-07,119.94398171990152,119.69314,120.0,0.8001139198034392,-4.151585883476657e-05,4.66440218298526e-05,0.00025200198
ramp_improved_adaptive,4,0.002011,2.9933603999665603e-06,119.91571083538076,119.56495,120.0,0.8001380327027023,-6.248226928918919e-05,7.731068080884523e-05,0.0003740523
ramp_improved_adaptive,5,0.002513,7.2709755999378345e-06,119.88350852579865,119.42165,120.00658,0.8001648235135134,-8.637976709557744e-05,0.00012161334617936117,0.00048998767
ramp_improved_adaptive,6,0.003016,1.3752159700036737e-05,119.86863176904174,119.32728,120.03208,0.8001751672727271,-9.743261785896812e-05,0.00016116151379361174,0.00070174178
ramp_improved_adaptive,7,0.003519,2.2581406800142867e-05,119.85648818181805,119.23734,120.14601,0.8001899833660931,-0.00010646574232170837,0.00022067504363723335,0.0011559989
ramp_improved_adaptive,8,0.004022,3.3551342500104386e-05,119.8470646437347,119.0656,120.36878,0.8002065734152343,-0.00011349865145454549,0.00029439592717714987,0.0017708153
ramp_improved_adaptive,9,0.004524,4.660602410000436e-05,119.82979240786244,118.8381,120.58566,0.8002331368304664,-0.0001263667611626535,0.0003499083164914006,0.0020917419
ramp_improved_adaptive,10,0.005027,6.099421430011409e-05,119.7931718918918,118.52856,120.67902,0.8002820080098283,-0.00015366735352805895,0.00043263776616855057,0.0023525939
ramp_improved_adaptive,11,0.00553,7.613143370013842e-05,119.75540267813271,118.21163,120.69284,0.8003293257739575,-0.00018183326206491402,0.0005259340584928746,0.0027473804
ramp_improved_adaptive,12,0.006032,9.142021600003214e-05,119.70649778869787,117.63319,120.68239,0.800391154643735,-0.0002183934054489926,0.0006228267419991397,0.0034277539
ramp_improved_adaptive,13,0.006535,0.00010667343100012605,119.63348208845213,116.6028,120.68239,0.8004886738083535,-0.00027323448867904175,0.000744354020708599,0.004588746
ramp_improved_adaptive,14,0.007038,0.00012179519000010686,119.53818002456995,115.52386,120.68239,0.8006195408845197,-0.0003450601236589679,0.0008954021342334151,0.0057864245
ramp_improved_adaptive,15,0.00754,0.00013671801200015876,119.43196773955772,114.41468,120.61261,0.8007670336363631,-0.0004254599085211302,0.0010564592483710078,0.0070134182
ramp_improved_adaptive,16,0.008043,0.00015149695100011296,119.31539960687951,113.28259,120.54622,0.8009291267567571,-0.000514087383793612,0.0012262378038918915,0.0082662012
ramp_improved_adaptive,17,0.008546,0.00016614716900009707,119.1928858968058,112.12734,120.43231,0.801099165503686,-0.0006076864318525796,0.0014017032140638823,0.0095429225
ramp_improved_adaptive,18,0.009048,0.00018071497800017933,119.06408574938575,110.95094,120.39881,0.8012778674938588,-0.000706567207889435,0.0015838854679950855,0.010846391
ramp_improved_adaptive,19,0.009551,0.00019529751900004833,118.9364525798526,110.02348,120.42274,0.8014552177149882,-0.0008049231293530713,0.0017649661530884533,0.011888469
ramp_improved_adaptive,20,0.010053,0.00020982867800001248,118.81333857493864,109.50658,120.45248,0.801626864275185,-0.0009000698345938568,0.0019416419893390669,0.012714633
ramp_improved_adaptive,21,0.010556,0.00022437778800010744,118.6903154545454,108.3871,120.48252,0.8017997478869782,-0.0009956661660373463,0.002118013408808355,0.013986308
ramp_improved_adaptive,22,0.011059,0.000238914665000034,118.56887186732196,107.26873,120.51277,0.8019716807125307,-0.0010905479350324318,0.0022919693485012283,0.01526643
ramp_improved_adaptive,23,0.011561,0.00025328339100003094,118.44667127764134,106.20005,120.54134,0.8021451704176902,-0.001186260376356756,0.0024696648225429976,0.016519433
ramp_improved_adaptive,24,0.012064,0.00026770155099997694,118.33201454545456,106.20005,120.56867,0.8023081292874698,-0.0012762225589366082,0.0026377853799361183,0.016519433
ramp_improved_adaptive,25,0.012567,0.0002819522850000533,118.21421739557748,106.00917,120.59591,0.8024760881572487,-0.0013690093740063396,0.002812083144186732,0.016519433
ramp_improved_adaptive,26,0.013069,0.00029627965500003683,118.09815754299751,105.05311,120.6232,0.8026422935135138,-0.0014608270951454547,0.0029849238328599507,0.017550206
ramp_improved_adaptive,27,0.013572,0.00031054381900014194,117.98497577395594,104.09979,120.65067,0.8028053936609338,-0.0015508504678579857,0.0031529575831547906,0.018664429
ramp_improved_adaptive,28,0.014075,0.00032482127600000354,117.8735068304671,103.14983,120.67837,0.8029669727518423,-0.001639924383111057,0.0033182478888550367,0.019781608
ramp_improved_adaptive,29,0.014577,0.00033905652400009756,117.76005808353817,102.20372,120.70622,0.8031321258476662,-0.0017308850253272732,0.0034879702757837825,0.020901402
ramp_improved_adaptive,30,0.01508,0.00035331255900009073,117.64769144963154,101.2618,120.73414,0.8032966685012288,-0.0018214499930570038,0.003655650468830467,0.022023538
ramp_improved_adaptive,31,0.015582,0.0003675922739999893,117.53687395577403,100.32436,120.76208,0.8034595513267823,-0.0019110952266105654,0.003822584975710074,0.02314776
ramp_improved_adaptive,32,0.016085,0.0003818300150000564,117.42458101719905,99.391647,120.79006,0.8036251970024573,-0.0020022647035577404,0.003992583025980344,0.024273815
ramp_improved_adaptive,33,0.016588,0.00039610824400002076,117.31424619164623,98.463951,120.81812,0.8037887768058962,-0.0020922791557936127,0.004159534236299758,0.025401451
ramp_improved_adaptive,34,0.01709,0.0004103483919999651,117.22081826289933,98.157745,120.84629,0.8039262884766589,-0.0021680035889975447,0.004304217889371006,0.025806893
ramp_improved_adaptive,35,0.017593,0.00042462124100001164,117.12985207125317,97.681488,120.8746,0.8040598759459463,-0.00224156589257494,0.004447225911533172,0.025928574
ramp_improved_adaptive,36,0.018096,0.0004388672919999892,117.03889130712535,96.813477,120.90302,0.8041939830958239,-0.0023153759718574952,0.0045904639620245715,0.026989624
ramp_improved_adaptive,37,0.018598,0.00045314694600007144,116.94442909336615,95.953613,120.93152,0.804333700368551,-0.0023922525555724796,0.004739956983965602,0.028048951
ramp_improved_adaptive,38,0.019,0.00046458090999998425,116.86594130221134,95.271698,120.95435,0.804450068280099,-0.0024562678700761676,0.004863112737454544,0.02889502
ramp_improved_adaptive,39,0.019503,0.0004787969000000225,116.7679982309583,94.80645,120.98289,0.8045947900982795,-0.002535912851523342,0.005019417713351352,0.029495187
ramp_improved_adaptive,40,0.020006,0.0004930488300000646,116.67198474692879,94.638046,121.01146,0.8047365742997548,-0.0026139519996314507,0.0051749940066437355,0.029705953
half_speed_adaptive,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.0,0.0,0.0
half_speed_adaptive,1,0.001005,1.5109332800189446e-06,119.9996064619164,119.99577,120.00291,0.8000390239312032,-2.915151909828012e-07,6.562952708108108e-07,6.722873e-06
half_speed_adaptive,2,0.002011,1.1261225000142039e-05,119.9908289926291,119.95752,120.01431,0.800033204594595,-6.793049258459459e-06,1.3995444504520891e-05,6.6119523e-05
half_speed_adaptive,3,0.003016,2.4330325600063762e-05,119.98031624078611,119.8932,120.01224,0.8000289858968056,-1.4583502476191644e-05,3.0392033363390687e-05,0.000142497
half_speed_adaptive,4,0.004022,3.8348695400036714e-05,119.96880066339078,119.81504,120.01894,0.8000493476658482,-2.3119057598034408e-05,4.708406361769042e-05,0.00022616846
half_speed_adaptive,5,0.005027,5.253344770014823e-05,119.95550599508576,119.73115,120.02302,0.8000696347665851,-3.297565223366092e-05,6.57898032476658e-05,0.00031151713
half_speed_adaptive,6,0.006032,6.617994800006688e-05,119.94195253071241,119.64512,120.02794,0.8000793178132685,-4.30280386563882e-05,8.535974795685507e-05,0.00039720425
half_speed_adaptive,7,0.007038,7.907632899997741e-05,119.92901665847666,119.56046,120.03478,0.8000952755282555,-5.2626204458255536e-05,0.00010628516439705161,0.00048203653
half_speed_adaptive,8,0.008043,9.125712100002681e-05,119.91515513513491,119.47768,120.04214,0.8001183228009824,-6.291157446162163e-05,0.0001289717113646192,0.0005664624
half_speed_adaptive,9,0.009048,0.00010300805600008123,119.90050400491393,119.39477,120.04937,0.8001378982309593,-7.378598041560193e-05,0.00015161814886997544,0.00065146218
half_speed_adaptive,10,0.010054,0.00011475488200005102,119.88601390663398,119.31097,120.05665,0.8001557664619162,-8.454520231373464e-05,0.00017377023078476642,0.00073713559
half_speed_adaptive,11,0.011059,0.00012652667200005463,119.87160847665854,119.22655,120.06364,0.8001760516216222,-9.524448867098287e-05,0.00019545252843562657,0.00082327065
half_speed_adaptive,12,0.012064,0.0001383109500001367,119.85732375921361,119.14123,120.07026,0.8001958475675686,-0.00010585818327297299,0.00021737406914299748,0.00090975483
half_speed_adaptive,13,0.01307,0.00015027962800007177,119.84314628992605,119.05523,120.07697,0.8002139497297301,-0.00011639636798820642,0.000239263615463882,0.00099617499
half_speed_adaptive,14,0.014075,0.0001623398580000157,119.82939592137608,118.96964,120.08389,0.8002320066093366,-0.00012662054127076167,0.0002607332810963145,0.0010819146
half_speed_adaptive,15,0.015081,0.0001744796150000838,119.81559938574965,118.88515,120.09072,0.800250821842752,-0.00013688228070786243,0.0002823114783936117,0.0011667034
half_speed_adaptive,16,0.016086,0.00018652841900015926,119.80188857493867,118.80169,120.09746,0.8002691390663373,-0.00014708062975257984,0.0003038815557729728,0.0012506123
half_speed_adaptive,17,0.017091,0.0001985894650001485,119.78832800982791,118.71912,120.10417,0.8002870222604419,-0.00015717117456142513,0.00032532292170417686,0.0013336908
half_speed_adaptive,18,0.018097,0.0002106557500000661,119.77473999999998,118.63747,120.11088,0.8003052466584776,-0.00016728539118009828,0.0003468373698159705,0.0014159284
half_speed_adaptive,19,0.019002,0.00022152804700012463,119.76258144963128,118.56476,120.11685,0.8003216730712523,-0.00017633880393660954,0.0003661154794877148,0.0014892503
half_speed_adaptive,20,0.020007,0.00023357398800008533,119.74902864864853,118.48476,120.12342,0.8003398043734636,-0.0001864316425778871,0.00038760458859582307,0.0015699815
half_speed_adaptive,21,0.021012,0.0002455693650001145,119.73560122850122,118.40562,120.12998,0.8003577335380849,-0.00019643493641056508,0.0004089565111847665,0.0016499287
half_speed_adaptive,22,0.022018,0.0002576810500000415,119.72213879606889,118.32735,120.13652,0.8003758057739558,-0.0002064684585007372,0.0004303809605385746,0.0017290978
half_speed_adaptive,23,0.023023,0.0002696672700000513,119.70876294840323,118.24992,120.14301,0.8003937807371011,-0.00021643955328992635,0.00045170548332972975,0.0018075325
half_speed_adaptive,24,0.024028,0.0002817607299999969,119.69533029484019,118.17329,120.14944,0.800411787518429,-0.00022645694231547913,0.0004731159781528255,0.0018852779
half_speed_adaptive,25,0.025034,0.00029374563000006404,119.6819847174447,118.09737,120.15585,0.8004296719656014,-0.00023641183731965609,0.0004944203678800978,0.0019623621
half_speed_adaptive,26,0.026039,0.0003057647199999902,119.66856700245698,118.02219,120.16226,0.8004476860442256,-0.0002464223987572482,0.0005158252158113021,0.0020388123
half_speed_adaptive,27,0.027045,0.0003178211300000622,119.65514717444705,117.94768,120.16861,0.8004657068550374,-0.00025643739143562657,0.0005372297764501231,0.0021146615
half_speed_adaptive,28,0.02805,0.000329857290000124,119.64173238329253,117.87383,120.17494,0.8004837354791147,-0.00026645129377051585,0.0005586315177211298,0.0021899412
half_speed_adaptive,29,0.029055,0.0003418553499999477,119.6283284029484,117.8006,120.18127,0.8005017661670754,-0.00027646069115601975,0.000580025476840541,0.0022646829
half_speed_adaptive,30,0.030061,0.00035383762000004704,119.6149352825554,117.72794,120.18753,0.8005197766339066,-0.00028646315851941004,0.0006014095284245698,0.0023389186
half_speed_adaptive,31,0.031066,0.0003658656500001023,119.60150142506112,117.65584,120.19379,0.8005378581818193,-0.000296498639454791,0.0006229757369439798,0.0024126761
half_speed_adaptive,32,0.032071,0.0003778703500000036,119.58804606879607,117.58425,120.20004,0.8005559819656017,-0.0003065543519169532,0.000644488025953317,0.0024859833
half_speed_adaptive,33,0.033077,0.0003899228200000826,119.57446027027014,117.51316,120.20626,0.8005742784029486,-0.0003167113302454547,0.0006661541450417695,0.0025588691
half_speed_adaptive,34,0.034082,0.0004018844000000521,119.56049638820645,117.44254,120.21244,0.8005931113267817,-0.0003271513397243244,0.000688322212180344,0.0026313625
half_speed_adaptive,35,0.035088,0.0004138962800000201,119.54646142506164,117.37234,120.21862,0.8006120334643738,-0.0003376472493125309,0.0007105899044022115,0.0027034911
half_speed_adaptive,36,0.036093,0.00042589967000003504,119.53243157248168,117.30253,120.2248,0.8006309492383269,-0.0003481423016707617,0.000732856274453809,0.0027752805
half_speed_ramp_adaptive,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.0,0.0,0.0
half_speed_ramp_adaptive,1,0.001005,-2.890666299382172e-07,119.99951744471748,119.99577,120.0,0.8000458311547906,-3.573167716117936e-07,3.792316972579852e-07,3.3607953e-06
half_speed_ramp_adaptive,2,0.002011,-1.4763502000081363e-06,119.99178429975444,119.95233,120.0,0.8000438655036851,-6.085422637813265e-06,6.684302967739555e-06,4.0222261e-05
half_speed_ramp_adaptive,3,0.003016,-5.323132999668356e-07,119.9851343243244,119.9221,120.00029,0.8000290393611786,-1.101274379965602e-05,1.296716244257985e-05,7.0925424e-05
half_speed_ramp_adaptive,4,0.004022,5.238226600118301e-06,119.98052805896818,119.89639,120.00201,0.8000368968058973,-1.4425982568648647e-05,1.96902478461425e-05,0.00010349674
half_speed_ramp_adaptive,5,0.005027,1.566168100014531e-05,119.97509228501225,119.86449,120.00231,0.8000500505896807,-1.845415828486486e-05,2.8266600815233414e-05,0.00014402061
half_speed_ramp_adaptive,6,0.006032,2.9327396800088446e-05,119.96942587223595,119.82413,120.00217,0.8000464444226045,-2.265344408248156e-05,3.742326165331697e-05,0.00019227061
half_speed_ramp_adaptive,7,0.007038,4.4323279500130264e-05,119.96365149877174,119.77776,120.00726,0.8000458775675685,-2.6935055577149886e-05,4.8928310093366095e-05,0.00024802596
half_speed_ramp_adaptive,8,0.008043,5.880140400010836e-05,119.95489714987698,119.72211,120.01478,0.8000602842260445,-3.34267479918329e-05,6.665165518931206e-05,0.00031162513
half_speed_ramp_adaptive,9,0.009049,7.211195500012035e-05,119.9428838329241,119.65881,120.02147,0.8000796014496315,-4.2335136475503675e-05,8.802645334685502e-05,0.00038099222
