case,time,trigger_reason,count
improved_adaptive,0.015079,0,0
improved_adaptive,0.015079,1,0
improved_adaptive,0.015079,2,148
improved_adaptive,0.015079,3,64
improved_adaptive,0.015079,4,172
improved_adaptive,0.015079,5,23
improved_adaptive,0.015582,0,0
improved_adaptive,0.015582,1,0
improved_adaptive,0.015582,2,148
improved_adaptive,0.015582,3,64
improved_adaptive,0.015582,4,172
improved_adaptive,0.015582,5,23
improved_adaptive,0.016085,0,0
improved_adaptive,0.016085,1,0
improved_adaptive,0.016085,2,146
improved_adaptive,0.016085,3,64
improved_adaptive,0.016085,4,176
improved_adaptive,0.016085,5,21
improved_adaptive,0.016587,0,0
improved_adaptive,0.016587,1,0
improved_adaptive,0.016587,2,144
improved_adaptive,0.016587,3,64
improved_adaptive,0.016587,4,176
improved_adaptive,0.016587,5,23
improved_adaptive,0.01709,0,0
improved_adaptive,0.01709,1,0
improved_adaptive,0.01709,2,146
improved_adaptive,0.01709,3,64
improved_adaptive,0.01709,4,176
improved_adaptive,0.01709,5,21
improved_adaptive,0.017593,0,0
improved_adaptive,0.017593,1,0
improved_adaptive,0.017593,2,142
improved_adaptive,0.017593,3,64
improved_adaptive,0.017593,4,176
improved_adaptive,0.017593,5,25
improved_adaptive,0.018095,0,0
improved_adaptive,0.018095,1,0
improved_adaptive,0.018095,2,138
improved_adaptive,0.018095,3,64
improved_adaptive,0.018095,4,176
improved_adaptive,0.018095,5,29
ramp_improved_adaptive,0.0,0,407
ramp_improved_adaptive,0.0,1,0
ramp_improved_adaptive,0.0,2,0
ramp_improved_adaptive,0.0,3,0
ramp_improved_adaptive,0.0,4,0
ramp_improved_adaptive,0.0,5,0
ramp_improved_adaptive,0.000503,0,0
ramp_improved_adaptive,0.000503,1,0
ramp_improved_adaptive,0.000503,2,407
ramp_improved_adaptive,0.000503,3,0
ramp_improved_adaptive,0.000503,4,0
ramp_improved_adaptive,0.000503,5,0
ramp_improved_adaptive,0.001005,0,0
ramp_improved_adaptive,0.001005,1,0
ramp_improved_adaptive,0.001005,2,71
ramp_improved_adaptive,0.001005,3,224
ramp_improved_adaptive,0.001005,4,112
ramp_improved_adaptive,0.001005,5,0
ramp_improved_adaptive,0.001508,0,0
ramp_improved_adaptive,0.001508,1,0
ramp_improved_adaptive,0.001508,2,134
ramp_improved_adaptive,0.001508,3,221
ramp_improved_adaptive,0.001508,4,52
ramp_improved_adaptive,0.001508,5,0
ramp_improved_adaptive,0.002011,0,0
ramp_improved_adaptive,0.002011,1,0
ramp_improved_adaptive,0.002011,2,263
ramp_improved_adaptive,0.002011,3,90
ramp_improved_adaptive,0.002011,4,54
ramp_improved_adaptive,0.002011,5,0
ramp_improved_adaptive,0.002513,0,0
ramp_improved_adaptive,0.002513,1,0
ramp_improved_adaptive,0.002513,2,272
ramp_improved_adaptive,0.002513,3,65
ramp_improved_adaptive,0.002513,4,57
ramp_improved_adaptive,0.002513,5,13
ramp_improved_adaptive,0.003016,0,0
ramp_improved_adaptive,0.003016,1,0
ramp_improved_adaptive,0.003016,2,96
ramp_improved_adaptive,0.003016,3,44
ramp_improved_adaptive,0.003016,4,250
ramp_improved_adaptive,0.003016,5,17
ramp_improved_adaptive,0.003519,0,0
ramp_improved_adaptive,0.003519,1,0
ramp_improved_adaptive,0.003519,2,113
ramp_improved_adaptive,0.003519,3,16
ramp_improved_adaptive,0.003519,4,254
ramp_improved_adaptive,0.003519,5,24
ramp_improved_adaptive,0.004022,0,0
ramp_improved_adaptive,0.004022,1,0
ramp_improved_adaptive,0.004022,2,159
ramp_improved_adaptive,0.004022,3,12
ramp_improved_adaptive,0.004022,4,202
ramp_improved_adaptive,0.004022,5,34
ramp_improved_adaptive,0.004524,0,0
ramp_improved_adaptive,0.004524,1,0
ramp_improved_adaptive,0.004524,2,103
ramp_improved_adaptive,0.004524,3,4
ramp_improved_adaptive,0.004524,4,247
ramp_improved_adaptive,0.004524,5,53
ramp_improved_adaptive,0.005027,0,0
ramp_improved_adaptive,0.005027,1,0
ramp_improved_adaptive,0.005027,2,98
ramp_improved_adaptive,0.005027,3,0
ramp_improved_adaptive,0.005027,4,261
ramp_improved_adaptive,0.005027,5,48
ramp_improved_adaptive,0.00553,0,0
ramp_improved_adaptive,0.00553,1,0
ramp_improved_adaptive,0.00553,2,118
ramp_improved_adaptive,0.00553,3,0
ramp_improved_adaptive,0.00553,4,241
ramp_improved_adaptive,0.00553,5,48
ramp_improved_adaptive,0.006032,0,0
ramp_improved_adaptive,0.006032,1,0
ramp_improved_adaptive,0.006032,2,116
ramp_improved_adaptive,0.006032,3,16
ramp_improved_adaptive,0.006032,4,217
ramp_improved_adaptive,0.006032,5,58
ramp_improved_adaptive,0.006535,0,0
ramp_improved_adaptive,0.006535,1,0
ramp_improved_adaptive,0.006535,2,161
ramp_improved_adaptive,0.006535,3,26
ramp_improved_adaptive,0.006535,4,177
ramp_improved_adaptive,0.006535,5,43
