reference,line,bottom_layer_mean_reference,scale,window_start,window_end,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_mode0_xi005_g9b,False,1.0625,0.002,0.5,5,443.7504654977173,442.14650207840134,508.97396628739625,0.032110712875948445
eq4,gpu_mode0_xi005_g9b,False,1.065,0.002,0.5,5,436.1972256485278,434.3893493879721,504.3721993025847,0.03158115315331472
eq4,gpu_mode0_xi005_g9b,False,1.0675,0.002,0.5,5,428.66975555626954,426.64139116981244,499.7758303011706,0.03105286791002109
eq4,gpu_mode0_xi005_g9b,False,1.07,0.002,0.5,5,421.16886356440165,418.9025963902888,495.1848403317035,0.03052591894875064
eq4,gpu_mode0_xi005_g9b,False,1.0725,0.002,0.5,5,413.69541492598484,411.1729342068691,490.59921055336963,0.030000372321667884
eq4,gpu_mode0_xi005_g9b,False,1.075,0.002,0.5,5,406.2503364531977,403.4523739665714,486.0189222350946,0.02947629867883818
eq4,gpu_mode0_xi005_g9b,False,1.0775000000000001,0.002,0.5,5,398.834621607038,395.74088520443183,481.443956754636,0.028953773649684038
eq4,gpu_mode0_xi005_g9b,False,1.08,0.002,0.5,5,391.44933607306217,388.038437641989,476.8742955977068,0.028432878260928388
eq4,gpu_mode0_xi005_g9b,False,1.0825,0.002,0.5,5,384.0956238739637,380.34500118577523,472.3099203571055,0.027913699394848612
eq4,gpu_mode0_xi005_g9b,False,1.085,0.002,0.5,5,376.7747140752821,372.6605459258408,467.75081273183787,0.02739633029207986
eq4,gpu_mode0_xi005_g9b,False,1.0875,0.002,0.5,5,369.4879281464582,364.9850421342762,463.1969545262782,0.026880871103655175
eq4,gpu_mode0_xi005_g9b,False,1.09,0.002,0.5,5,362.23668804602937,357.3184602637575,458.64832764931816,0.026367429497467357
eq4,gpu_mode0_xi005_g9b,False,1.0925,0.002,0.5,5,355.02252510680887,349.6607709461026,454.1049141135063,0.025856121324872916
eq4,gpu_mode0_xi005_g9b,False,1.095,0.002,0.5,5,347.847089804543,342.0119449908449,449.56669603425325,0.02534707135373891
eq4,gpu_mode0_xi005_g9b,False,1.0975000000000001,0.002,0.5,5,340.7121625016648,334.37195338381787,445.03365562898216,0.02484041407485195
eq4,gpu_mode0_xi005_g9b,False,1.1,0.002,0.5,5,333.6196652663824,326.7407672857615,440.5057752163393,0.02433629458926569
eq4,gpu_mode0_xi005_g9b,False,1.1025,0.002,0.5,5,326.57167487621615,319.11835803092583,435.98303721535376,0.023834869584842034
eq4,gpu_mode0_xi005_g9b,False,1.105,0.002,0.5,5,319.57043712424127,311.504697125711,431.4654241446933,0.023336308410942516
eq4,gpu_mode0_xi005_g9b,False,1.1075,0.002,0.5,5,312.61838255511606,303.8997562472985,426.95291862181693,0.02284079426090793
eq4,gpu_mode0_xi005_g9b,False,1.1099999999999999,0.002,0.5,5,305.71814376648894,296.30350724231647,422.4455033622489,0.02234852547262545
eq4,gpu_mode0_xi005_g9b,False,1.1125,0.002,0.5,5,298.8725744185489,288.7159221254944,417.9431611787659,0.021859716958049447
