reference,time,y,z,z_norm,excess
eq4_nominal_cv,0.5,0.712800000072,0.717799999972,0.72,4889.563542741126
eq4_nominal_cv,0.5,0.722700000073,0.727699999973,0.73,4724.130783709022
eq4_nominal_cv,0.5,0.732600000074,0.7375999999739999,0.74,4557.687779649269
eq4_nominal_cv,0.5,0.7425000000749999,0.7474999999749999,0.7499999999999999,4390.273136917268
eq4_nominal_cv,0.5,0.7524000000759999,0.7573999999759999,0.7599999999999999,4221.925364641029
eq4_nominal_cv,0.5,0.7623000000769999,0.7672999999769999,0.7699999999999999,4052.682871524418
eq4_nominal_cv,0.5,0.7722000000779999,0.7771999999779999,0.7799999999999999,3882.5839633932464
eq4_nominal_cv,0.5,0.7821000000789999,0.7870999999789999,0.7899999999999999,3711.6668414687592
eq4_nominal_cv,0.5,0.7920000000799999,0.7969999999799999,0.7999999999999999,3539.969601351367
eq4_nominal_cv,0.5,0.8019000000809999,0.8068999999809999,0.8099999999999999,3367.5302326960277
eq4_nominal_cv,0.5,0.8118000000819999,0.8167999999819999,0.82,3194.3866195589585
eq4_nominal_cv,0.5,0.8217000000829999,0.8266999999829999,0.83,3020.5765413940335
eq4_nominal_cv,0.5,0.8316000000839999,0.8365999999839999,0.84,2846.137674675672
eq4_nominal_cv,0.5,0.8415000000849999,0.8464999999849999,0.8499999999999999,2671.107595123666
eq4_nominal_cv,0.5,0.8514000000859999,0.8563999999859999,0.8599999999999999,2495.5237805041493
eq4_nominal_cv,0.5,0.8613000000869999,0.8662999999869999,0.8699999999999999,2319.423613979499
eq4_nominal_cv,0.5,0.8712000000879999,0.8761999999879999,0.8799999999999999,2142.844387978921
eq4_nominal_cv,0.5,0.8811000000889999,0.8860999999889999,0.8899999999999999,1965.823308560241
eq4_nominal_cv,0.5,0.8910000000899999,0.8959999999899999,0.8999999999999999,1788.397500232346
eq4_nominal_cv,0.5,0.9009000000909999,0.9058999999909999,0.9099999999999999,1610.604011206813
eq4_nominal_cv,0.5,0.9108000000919999,0.9157999999919999,0.9199999999999999,1432.4798190462511
eq4_nominal_cv,0.5,0.9207000000929999,0.9256999999929999,0.9299999999999999,1254.0618366760277
eq4_nominal_cv,0.5,0.9306000000939999,0.9355999999939999,0.94,1075.3869187253613
eq4_nominal_cv,0.5,0.9405000000949999,0.9454999999949999,0.9499999999999998,896.4918681629093
eq4_nominal_cv,0.5,0.950400000096,0.955399999996,0.96,717.4134431914933
eq4_nominal_cv,0.5,0.960300000097,0.965299999997,0.97,538.1883643659658
eq4_nominal_cv,0.5,0.970200000098,0.975199999998,0.98,358.85332189770736
eq4_nominal_cv,0.5,0.980100000099,0.985099999999,0.99,179.4449831089948
eq4_nominal_cv,0.5,0.9900000001,0.995,1.0,6.99531185286293e-13
eq4_nominal_cv,1.0,0.0,0.0049999999,0.0,8266.024478975938
eq4_nominal_cv,1.0,0.009900000001,0.014899999901,0.01,8265.001077606561
eq4_nominal_cv,1.0,0.019800000002,0.024799999902,0.02,8261.931134094788
eq4_nominal_cv,1.0,0.029700000003,0.034699999903,0.03,8256.815430147442
eq4_nominal_cv,1.0,0.039600000004,0.044599999904,0.04,8249.655268335098
eq4_nominal_cv,1.0,0.049500000004999996,0.054499999905,0.049999999999999996,8240.452471681117
eq4_nominal_cv,1.0,0.059400000006,0.064399999906,0.06,8229.209383086674
eq4_nominal_cv,1.0,0.069300000007,0.074299999907,0.06999999999999999,8215.928864592286
eq4_nominal_cv,1.0,0.079200000008,0.08419999990799999,0.08,8200.614296476278
eq4_nominal_cv,1.0,0.089100000009,0.09409999990899999,0.09,8183.269576190925
eq4_nominal_cv,1.0,0.09900000000999999,0.10399999990999999,0.09999999999999999,8163.899117137
eq4_nominal_cv,1.0,0.10890000001099999,0.11389999991099999,0.10999999999999999,8142.507847277619
eq4_nominal_cv,1.0,0.118800000012,0.123799999912,0.12,8119.1012075924145
eq4_nominal_cv,1.0,0.128700000013,0.133699999913,0.13,8093.685150373105
eq4_nominal_cv,1.0,0.138600000014,0.143599999914,0.13999999999999999,8066.26613736173
eq4_nominal_cv,1.0,0.148500000015,0.153499999915,0.15,8036.851137732847
eq4_nominal_cv,1.0,0.158400000016,0.163399999916,0.16,8005.447625921164
eq4_nominal_cv,1.0,0.168300000017,0.17329999991699999,0.16999999999999998,7972.063579296101
eq4_nominal_cv,1.0,0.178200000018,0.18319999991799998,0.18,7936.707475684987
eq4_nominal_cv,1.0,0.18810000001899999,0.19309999991899998,0.18999999999999997,7899.388290746566
eq4_nominal_cv,1.0,0.19800000001999998,0.20299999991999998,0.19999999999999998,7860.1154951966955
eq4_nominal_cv,1.0,0.20790000002099998,0.21289999992099998,0.21,7818.89905188815
eq4_nominal_cv,1.0,0.21780000002199998,0.22279999992199997,0.21999999999999997,7775.749412746535
eq4_nominal_cv,1.0,0.22770000002299998,0.23269999992299997,0.22999999999999998,7730.677515564423
eq4_nominal_cv,1.0,0.237600000024,0.242599999924,0.24,7683.694780655902
eq4_nominal_cv,1.0,0.247500000025,0.252499999925,0.25,7634.813107373788
eq4_nominal_cv,1.0,0.257400000026,0.262399999926,0.26,7584.044870491825
eq4_nominal_cv,1.0,0.267300000027,0.272299999927,0.27,7531.40291645432
eq4_nominal_cv,1.0,0.277200000028,0.282199999928,0.27999999999999997,7476.90055949563
eq4_nominal_cv,1.0,0.287100000029,0.292099999929,0.29,7420.551577632094
eq4_nominal_cv,1.0,0.29700000003,0.30199999993,0.3,7362.370208528962
eq4_nominal_cv,1.0,0.306900000031,0.311899999931,0.31,7302.371145244982
eq4_nominal_cv,1.0,0.316800000032,0.321799999932,0.32,7240.569531857359
eq4_nominal_cv,1.0,0.326700000033,0.331699999933,0.32999999999999996,7176.980958969811
eq4_nominal_cv,1.0,0.336600000034,0.341599999934,0.33999999999999997,7111.621459106506
eq4_nominal_cv,1.0,0.346500000035,0.351499999935,0.35,7044.507501994737
eq4_nominal_cv,1.0,0.356400000036,0.36139999993599997,0.36,6975.655989739123
eq4_nominal_cv,1.0,0.366300000037,0.37129999993699997,0.37,6905.084251890302
eq4_nominal_cv,1.0,0.37620000003799997,0.38119999993799997,0.37999999999999995,6832.81004041095
eq4_nominal_cv,1.0,0.38610000003899997,0.39109999993899996,0.38999999999999996,6758.8515245420995
eq4_nominal_cv,1.0,0.39600000003999997,0.40099999993999996,0.39999999999999997,6683.2272855726615
eq4_nominal_cv,1.0,0.40590000004099996,0.41089999994099996,0.41,6605.956311515143
eq4_nominal_cv,1.0,0.41580000004199996,0.42079999994199996,0.42,6527.057991690473
eq4_nominal_cv,1.0,0.42570000004299996,0.43069999994299996,0.42999999999999994,6446.5521112249135
eq4_nominal_cv,1.0,0.43560000004399996,0.44059999994399995,0.43999999999999995,6364.458845462028
eq4_nominal_cv,1.0,0.44550000004499996,0.45049999994499995,0.44999999999999996,6280.798754292613
eq4_nominal_cv,1.0,0.45540000004599995,0.46039999994599995,0.45999999999999996,6195.592776405568
eq4_nominal_cv,1.0,0.46530000004699995,0.47029999994699995,0.47,6108.862223462603
eq4_nominal_cv,1.0,0.475200000048,0.480199999948,0.48,6020.628774199677
eq4_nominal_cv,1.0,0.485100000049,0.490099999949,0.49,5930.914468458075
eq4_nominal_cv,1.0,0.49500000005,0.49999999995,0.5,5839.741701147939
eq4_nominal_cv,1.0,0.504900000051,0.509899999951,0.51,5747.133216147086
eq4_nominal_cv,1.0,0.514800000052,0.519799999952,0.52,5653.112100137904
eq4_nominal_cv,1.0,0.524700000053,0.529699999953,0.53,5557.701776385054
eq4_nominal_cv,1.0,0.534600000054,0.539599999954,0.54,5460.925998456681
eq4_nominal_cv,1.0,0.544500000055,0.549499999955,0.5499999999999999,5362.808843891825
eq4_nominal_cv,1.0,0.554400000056,0.559399999956,0.5599999999999999,5263.374707816595
eq4_nominal_cv,1.0,0.564300000057,0.569299999957,0.57,5162.648296511689
eq4_nominal_cv,1.0,0.574200000058,0.579199999958,0.58,5060.654620933768
eq4_nominal_cv,1.0,0.584100000059,0.589099999959,0.59,4957.418990193118
eq4_nominal_cv,1.0,0.59400000006,0.59899999996,0.6,4852.96700499001
eq4_nominal_cv,1.0,0.603900000061,0.608899999961,0.61,4747.324551012056
eq4_nominal_cv,1.0,0.613800000062,0.618799999962,0.62,4640.517792294849
eq4_nominal_cv,1.0,0.623700000063,0.628699999963,0.63,4532.573164548079
eq4_nominal_cv,1.0,0.633600000064,0.638599999964,0.64,4423.517368449253
eq4_nominal_cv,1.0,0.643500000065,0.648499999965,0.6499999999999999,4313.377362907076
eq4_nominal_cv,1.0,0.653400000066,0.658399999966,0.6599999999999999,4202.18035829651
eq4_nominal_cv,1.0,0.663300000067,0.668299999967,0.6699999999999999,4089.953809667386
eq4_nominal_cv,1.0,0.673200000068,0.678199999968,0.6799999999999999,3976.725409928475
eq4_nominal_cv,1.0,0.683100000069,0.688099999969,0.69,3862.5230830087335
eq4_nominal_cv,1.0,0.69300000007,0.69799999997,0.7,3747.374976997465
eq4_nominal_cv,1.0,0.702900000071,0.707899999971,0.71,3631.3094572650157
eq4_nominal_cv,1.0,0.712800000072,0.717799999972,0.72,3514.3550995655337
