analytical_excess_fit,analytical_excess_q0,analytical_total_fit,analytical_total_q0,depth_from_top_m,eta_depth,run,sim_excess,sim_porepress,time_s,z_m
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
483233.25963039935,10011.14085030104,491671.07930769934,18448.96052760104,0.8601243300000001,0.8686911748156069,cpu,0.0,8485.650362968,0.0,0.13500001
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482977.56778167497,10005.843683641173,491317.287557075,18345.563459041172,0.85012434,0.8585915848397666,cpu,0.0,8387.550358772,0.0,0.145
482109.59834317706,9987.861965434928,490351.21811857703,18229.481740834926,0.84012434,0.8484919847643263,cpu,0.0,8289.450354576,0.0,0.155
482109.59834317706,9987.861965434928,490351.21811857703,18229.481740834926,0.84012434,0.8484919847643263,cpu,0.0,8289.450354576,0.0,0.155
