case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,7,0.035,0.0028082691000000035,0.002370207041000018,-0.00011124097699999836,50.37552807043,26745.85973683,14451.951094533253,50.37552720000048,9761.107880178,4906.091273699892,0.0,16989.32752982,9545.859605668778,16989.32752982,26696.851628916997,9712.099774763996,16984.751437339997,-0.015399535004689824,0.0,8368803.333333334,126000560.13931364,125882230.0,10.04550300000015
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,8,0.04,0.002800920300000001,0.0023446331189800086,-0.00012304154699999893,50.51315340897,26594.32329377,14419.344955028002,50.51296529999947,9761.117327208,4906.207037291563,0.0,16837.40459673,9513.137705915922,16837.40459673,26545.317449372502,9712.111487904,16833.205547860005,-0.01599242949669133,0.0,7849887.333333334,122803609.5766225,122862720.0,10.088213
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,9,0.045,0.002764088600000001,0.002303643606630032,-0.00013464256299999838,50.64928814013,26440.22039453,14381.237451429957,50.649128099999686,9761.126230764,4906.320843258533,0.0,16683.05664371,9474.916388549718,16683.05664371,26391.2166535225,9712.122487857001,16679.09374813,-0.014804889004153665,0.0,7393634.000000001,122728445.10159703,122747630.0,10.038420000000029
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,10,0.05,0.002737227400000002,0.0022688908156900524,-0.0001460781380000008,50.7842531473,26307.54271576,14351.674208462035,50.78421179999992,9761.134672269,4906.433026249299,0.0,16550.18200947,9445.240983944846,16550.18200947,26258.5409428895,9712.1329036245,16546.407623659998,-0.013696659003471723,0.0,7013636.000000001,123106769.8545702,123109940.0,9.994401900000074
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,1,0.005,0.001971761500000054,0.0010414637230952608,-3.885665499999868e-05,49.6004647545,37222.72975911,20639.740456619078,49.60014480000018,9761.025170105999,4905.381183501025,0.0,27471.09052241,15734.359071759058,27471.09052241,37173.700807368004,9711.996224328,27461.70417009001,0.08265822200701223,0.0,21432141.333333336,277245349.62351346,279374560.0,21.617203000000075
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,2,0.01,0.007752642000000001,0.005075152107160008,-4.722658799999981e-05,49.63329779243,28682.52266904,15229.018291801209,49.63349880000005,9761.044410459,4905.463292543782,0.0,18930.31296015,10323.554777654852,18930.31296015,28633.498218868997,9712.0199659995,18921.477840950007,-0.09186393099298584,0.0,19329954.000000004,156760514.9663609,176090450.0,11.540732000000077
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,3,0.015,0.0028376577,0.0024796691194800004,-6.028477299999911e-05,49.78181350008,26054.56514598,13664.407290290677,49.78202220000029,9761.060582244,4905.591393338644,0.0,16299.96313617,8758.81568826898,16299.96313617,26005.5451487865,9712.040589072,16293.50414474,-0.02332060049775464,0.0,12181719.333333336,108099414.5259939,109281850.0,9.159393300000001
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,4,0.02,0.0026891064000000046,0.002340876294820001,-7.448338400000291e-05,49.95351580515,27583.43858529,14737.644311547738,49.95330480000053,9761.074866585,4905.730681712536,0.0,17828.83646026,9831.913405183996,17828.83646026,27534.422297693498,9712.058581102498,17822.363299459998,-0.046863632000167854,0.0,10857348.666666668,129439570.02038738,127302370.0,10.69382000000001
Case1DConsolidation_PR_SW3C_Xi0p10_T0p10,0.10,0.10,5,0.025,0.0031265353000000003,0.002591850332840002,-8.690222300000159e-05,50.09364296792,27169.65837052,14567.925307068188,50.09368590000016,9761.086784754001,4905.852510523131,0.0,17413.94820679,9662.072574089856,17413.94820679,27120.645068586502,9712.073482002,17408.571166409998,-0.02242880350240739,0.0,10102622.000000002,126721175.54400273,127684180.0,10.317657000000025
