variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045_extended,0.003318,407,4,4,0,120.00982800982801,98.0,0.8068010597809088,0.060796524272223366,0.08313520883591517,61.65710845755124,58.983178593671504,1.0805839241274267,4794.7119,120.01449361179343,0.7999681722113012,1.0730780725110573e-05,6.975732355356262e-05,0.36028500000000213,0.20259299999999864,-96.14121237837826,0.27183287386361626,-2303.346514823705,44481052.0,0.006020404311813854,112.0,0.0
overhang045_extended,0.003418,407,4,4,0,120.00982800982801,98.0,0.806801585517465,0.061962646322950114,0.08479704064486725,61.31071687903366,59.973821678447564,1.0918416883630386,4576.1484,120.0142523095822,0.7999688497788682,1.0552744943316958e-05,7.304540189508597e-05,0.36028500000000213,0.20259299999999864,-96.58599942751842,0.27309047961700783,-2904.597141060827,45194088.0,0.0060304824413891945,112.0,0.0
overhang045_extended,0.003519,407,9,9,0,120.00982800982801,98.0,0.8068022009474287,0.06308435544283696,0.0863870130913981,60.859350632350534,61.41072814548392,1.1153538373217564,4278.4487,120.01392874692858,0.7999697337346445,1.0313069861228508e-05,7.619628265282557e-05,0.36028500000000213,0.20259299999999864,-97.21519347420164,0.27486948387227605,-3548.9349302409446,46050060.0,0.006037899262716951,112.0,0.0
overhang045_extended,0.003619,407,8,8,0,120.00982800982801,98.0,0.8068028448516171,0.06412194129404851,0.0878490115518819,60.343498453726504,62.53100032248714,1.137411288094704,4067.761,120.01351918918935,0.7999707844963155,1.0009585753759211e-05,7.953685230638819e-05,0.36028500000000213,0.20259299999999864,-97.56142142997534,0.2758484203543695,-4254.890942063529,46693188.0,0.006043115480778525,112.0,0.0
overhang045_extended,0.00372,407,8,8,0,120.00982800982801,98.0,0.8068034096641525,0.06504414973650668,0.08913869571571456,59.83836540622437,63.51665765751682,1.1577330250780453,3791.0879,120.01299363636372,0.79997197034398,9.620243955113022e-06,8.298733095977885e-05,0.36028500000000213,0.20259299999999864,-97.82015197788692,0.27657996374408994,-5004.437236739251,47249256.0,0.006046471863333929,112.0,0.0
overhang045_extended,0.00382,407,1,1,0,120.00982800982801,98.0,0.8068039022990144,0.06582470177017946,0.09021955803521264,59.33872916052414,64.49081098382783,1.1792528382072882,3598.7195,120.01238626535611,0.7999733140294828,9.17013252243243e-06,8.649359565542998e-05,0.36028500000000213,0.20259299999999864,-98.07147279606878,0.2772905566165748,-5781.098360017648,47804180.0,0.006047836349926917,112.0,0.0
overhang045_extended,0.003921,407,12,12,0,120.00982800982801,98.0,0.806804281360428,0.06651520780075625,0.09117593533934927,58.75095136658472,66.03280665574839,1.2200216362310194,3375.1968,120.01180235872236,0.7999745832432431,8.737768360933658e-06,8.978278201547911e-05,0.36028500000000213,0.20259299999999864,-98.47952879852592,0.27844430778219015,-6568.759632259121,48328976.0,0.006048011197177996,112.0,0.0
overhang045_extended,0.004021,407,5,5,0,120.00982800982801,98.0,0.8068040723111052,0.06710202781497879,0.09197564035313403,58.439840399262934,66.60433903999947,1.2276697334395623,3406.6355,120.01097933660904,0.7999759887469285,8.128124277837844e-06,9.354746585577398e-05,0.36028500000000213,0.20259299999999864,-98.75428060196558,0.27922115020471205,-7349.009694270861,48706272.0,0.006047362328288351,112.0,0.0
overhang_ref,0.0,407,0,0,0,117.58230958230958,98.0,0.8043061554992177,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.0,0.1922390000000006,0.0684196999999998,-50.0,0.1413716694115407,0.0,0.0,0.0,112.0,0.0
overhang_ref,0.000503,407,0,0,0,117.58230958230958,98.0,0.8022536270126402,0.03695689552044827,0.051990762037497355,35.93088173546276,8.417448148843727,0.237125187323307,4841.6807,120.0,0.8000152097543,0.0,0.0,0.4181520000000002,0.5516220000000025,-40.40143061179364,0.11423235384407582,-5459.063468103607,15411770.0,0.0009684673212833326,112.0,0.0
