case,part,time,idp,trial_state_available,trial_p,trial_q,trial_pc,trial_yield_function,newton_initial_residual,line_search_step_residual_trace_available,line_search_backtracks,line_search_reject_reason,line_search_min_alpha
baseline,4,0.002011,468,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,478,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,479,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,480,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,522,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,523,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,159,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,160,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,170,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,171,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,203,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,204,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,214,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,215,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,216,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,225,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,226,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,269,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,270,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,271,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,280,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,281,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,291,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,292,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,293,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
