case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
half_speed_adaptive_line,13,0.01307,0.00015027962800007177,-101369.9996795857,61144.79778364449,35379760.0,0.053275619,0.0030402082362293048
half_speed_adaptive_line,14,0.014075,0.0001623398580000157,-109312.09995886096,62870.1684399072,34885152.0,0.052540179,0.0030236829667618825
half_speed_adaptive_line,15,0.015081,0.0001744796150000838,-117475.8186512414,64043.64296617904,34417604.0,0.05184269,0.0030090543008342435
half_speed_adaptive_line,16,0.016086,0.00018652841900015926,-125468.48536420893,65155.692775319556,34079372.0,0.051336862,0.002995906476892924
half_speed_adaptive_line,17,0.017091,0.0001985894650001485,-133330.42691735903,66094.19559766579,33731664.0,0.050816115,0.002981430660829908
half_speed_adaptive_line,18,0.018097,0.0002106557500000661,-141289.34817125497,66739.80685616346,33383402.0,0.050293975,0.0029670857321141765
half_speed_adaptive_line,19,0.019002,0.00022152804700012463,-148421.79672720406,66343.75891252224,33113778.0,0.049880646,0.002955040337286207
half_speed_adaptive_line,20,0.020007,0.00023357398800008533,-156330.79181402642,66775.45389595283,32806618.0,0.049419522,0.0029416364395821455
half_speed_adaptive_line,21,0.021012,0.0002455693650001145,-164192.2848344718,67074.38916659418,32470390.0,0.048914868,0.0029282661275815795
half_speed_adaptive_line,22,0.022018,0.0002576810500000415,-172078.63303231538,67233.22471833909,32144582.0,0.048425589,0.0029158802116007044
half_speed_adaptive_line,23,0.023023,0.0002696672700000513,-179966.74995327776,67320.17696641188,31853808.0,0.047988538,0.002904357419570334
half_speed_adaptive_line,24,0.024028,0.0002817607299999969,-187831.76469327195,67356.63524160054,31581042.0,0.047578409,0.0028930491906240465
half_speed_adaptive_line,25,0.025034,0.00029374563000006404,-195696.6220545032,67322.58815036133,31315338.0,0.047178876,0.0028820038618348883
half_speed_adaptive_line,26,0.026039,0.0003057647199999902,-203572.02627716237,67224.7770403478,31062978.0,0.046799321,0.002871564863419331
half_speed_adaptive_line,27,0.027045,0.0003178211300000622,-211449.15182020745,67078.03285188394,30824400.0,0.046440415,0.002861753141083843
half_speed_adaptive_line,28,0.02805,0.000329857290000124,-219328.69073625025,66887.40471138064,30596734.0,0.046097871,0.002852513051997044
half_speed_adaptive_line,29,0.029055,0.0003418553499999477,-227207.02156111598,66665.75329425078,30383676.0,0.045777231,0.0028438768589353126
half_speed_adaptive_line,30,0.030061,0.00035383762000004704,-235078.38603425975,66421.56230316039,30184208.0,0.045476981,0.0028357719081557337
half_speed_adaptive_line,31,0.031066,0.0003658656500001023,-242944.87776168718,66156.53327611105,29994476.0,0.045191351,0.002828121599697575
half_speed_adaptive_line,32,0.032071,0.0003778703500000036,-250811.00261042,65874.10920842832,29815490.0,0.044921841,0.002820953580297295
half_speed_adaptive_line,33,0.033077,0.0003899228200000826,-258676.82741422736,65580.03788992345,29649074.0,0.044671189,0.0028142761135400807
half_speed_adaptive_line,34,0.034082,0.0004018844000000521,-266541.1886592011,65278.290375879034,29494316.0,0.044438045,0.002808045490849584
half_speed_adaptive_line,35,0.035088,0.0004138962800000201,-274405.01777248894,64970.86429132377,29350334.0,0.044221092,0.002802246421145551
half_speed_adaptive_line,36,0.036093,0.00042589967000003504,-282269.0080923411,64660.22121600407,29217048.0,0.044020213,0.0027968823126221566
quarter_speed_line,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarter_speed_line,1,0.002011,3.812653000118127e-06,-21313.43013815553,11664.81102235144,21665748.0,0.032587651,0.0015377354295131184
quarter_speed_line,2,0.004022,1.5030805299992567e-05,-25417.85454500649,17501.656955852366,21905404.0,0.032968447,0.0015377808094036297
quarter_speed_line,3,0.006032,2.8994677000043767e-05,-30942.16838726809,23618.038929730945,16279203.0,0.024544807,0.0014306999798604423
quarter_speed_line,4,0.008043,4.119874499997067e-05,-38055.114551633786,23499.46866106911,13395024.0,0.020206824,0.0012802467747945112
quarter_speed_line,5,0.010054,5.130004200007421e-05,-46012.90602543535,26519.636088880878,15130832.0,0.022807797,0.0013193318051101892
quarter_speed_line,6,0.012065,6.025658100011766e-05,-56624.23970628235,28722.639713727025,17169918.0,0.025855698,0.0014019537195774814
