case,part,time,axial_strain,pc_mean,pc_min,pc_max,void_ratio_mean,void_ratio_min,void_ratio_max,plastic_vol_strain_mean,eq_plastic_strain_mean,Kplastic_max
adaptive_line,27,0.013572,0.0003567586310000703,119.74304663390656,118.51263,120.15015,0.8003468088206396,0.7997784,0.80202818,-0.00019094126762972982,0.0004952246861882067,0.0019313599
adaptive_line,28,0.014074,0.00037112035099998164,119.73084142506139,118.45659,120.15575,0.8003632126535637,0.79977095,0.80210394,-0.00020003466765675676,0.0005165728810899264,0.0020016232
adaptive_line,29,0.014577,0.00038544558700004394,119.71866479115482,118.3905,120.16135,0.800379661056511,0.7997635,0.80219328,-0.00020910991889017195,0.0005378282763184268,0.0020553451
adaptive_line,30,0.015079,0.0003998054700000975,119.70647481572475,118.32471,120.16696,0.800396134103195,0.79975605,0.80228227,-0.00021819669302530715,0.0005590321472619165,0.0021087818
adaptive_line,31,0.015582,0.00041411175300001823,119.69438982801013,118.25927,120.17255,0.8004124231203918,0.7997486,0.80237085,-0.0002272098349712531,0.0005799580476206388,0.0021619385
adaptive_line,32,0.016085,0.0004284563440001832,119.68228309582318,118.19416,120.17812,0.8004286721867333,0.79974115,0.80245894,-0.00023623958504004903,0.0006009592900530715,0.002214819
adaptive_line,33,0.016587,0.00044275084500014494,119.67003560196594,118.12943,120.18369,0.8004450961179367,0.7997337,0.80254668,-0.00024537838316044216,0.0006220751964314496,0.002267431
adaptive_line,34,0.01709,0.00045708638300001603,119.65794088452087,118.06507,120.18926,0.8004613283292386,0.79972625,0.80263388,-0.00025440453902530704,0.0006430477195297298,0.0023197876
adaptive_line,35,0.017593,0.00047139373999999234,119.64593776412784,118.0011,120.19483,0.8004774714496309,0.7997188,0.80272061,-0.0002633663928754299,0.0006637947702520881,0.0023719012
adaptive_line,36,0.018095,0.0004857236600000481,119.63395098280112,117.93754,120.2004,0.8004936204422614,0.79971135,0.80280685,-0.0002723184364454544,0.000684499608812285,0.0024237814
half_speed_adaptive_line,0,0.0,0.0,120.0,120.0,120.0,0.8000000100000014,0.80000001,0.80000001,0.0,0.0,0.0
half_speed_adaptive_line,1,0.001005,1.5109332800189446e-06,119.9996064619164,119.99577,120.00291,0.8000390239312032,0.79996556,0.80005389,-2.915151909828012e-07,6.562952708108108e-07,6.722873e-06
