case,safety,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,bottom_Excess_mean,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,13,0.13,0.0024704791000000133,0.0018942124141196402,-0.00030358453819999865,52.72371662073,24776.52245389,13888.790118759654,52.723746900000094,9761.233901399999,4907.978164035246,0.0,15017.74576468,8980.81175133367,15015.28813606,0.0,-0.006182077497214777,126222230.0,4268023.200000001,126244527.31634387,9.710084900000004
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,14,0.14,0.002456529500000001,0.0018668876300933263,-0.00032240907249999864,52.96561350325,24618.64071906,13829.659811776924,52.965857700000086,9761.244299019,4908.162832716717,0.0,14859.69259696,8921.496799571825,14857.396003220001,0.0,-0.007651886000530794,120484270.0,4138889.4000000004,120516730.67821953,9.823620800000093
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,15,0.15,0.0024488333000000015,0.001844298900802867,-0.00034098964700000445,53.20648501382,24468.57210375,13772.121304045197,53.2066932000002,9761.254480818001,4908.345108152584,0.0,14709.51179097,8863.775990149932,14707.31720322,0.0,-0.007690189499044209,119478620.0,3973820.533333334,119469741.53448863,9.821185100000005
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,16,0.16,0.0024408374000000075,0.0018245122172433732,-0.00035933285220000346,53.44623255794,24311.93713639,13708.26376927611,53.44644960000034,9761.264311419,4908.525054995602,0.0,14553.06536144,8799.73851346243,14550.672407100003,0.0,-0.02335898300043482,118851040.0,3842798.0666666673,118849967.10771324,9.795471200000005
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,17,0.17,0.0024298739000000002,0.001801511768093369,-0.000377443118999996,53.68494553716,24167.77454027,13648.50919905511,53.68502880000002,9761.273854587,4908.702716712884,0.0,14408.60389188,8739.806252365443,14406.50026914,0.0,-0.007019306000074721,120591750.0,3782345.9333333336,120586559.88107374,9.748758300000157
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,18,0.18,0.0024171243000000067,0.0017786654732233607,-0.0003953547050000023,53.92279154666,24026.58772757,13589.019604284638,53.9230194,9761.283205479,4908.87842937159,0.0,14267.30748927,8680.140961830968,14265.304102340006,0.0,-0.007083415493980283,118960230.0,3634094.266666667,118956500.78355423,9.76255130000001
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,19,0.19,0.002411611100000002,0.0017624251449058375,-0.0004130656094999955,54.1596597037,23886.90819855,13527.34342006116,54.15983279999951,9761.292392544,4909.05217334471,0.0,14127.61216909,8618.291056675505,14125.615388319999,0.0,-0.0072673555005167145,118194680.0,3581962.5333333337,118190800.43085289,9.7349596
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,20,0.2,0.002397865500000001,0.0017397717625295484,-0.0004305791155999988,54.39563108101,23750.17952379,13466.36026338033,54.39546899999964,9761.301382428,4909.223980839532,0.0,13990.79457311,8557.136071608638,13988.877725739996,0.0,-0.00623251250362955,119710350.0,3463011.2666666666,119726290.41590215,9.679993600000163
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,1,0.01,0.007806964700000004,0.005053994456090019,-4.5819631999998135e-05,49.61797473498,28895.86621141,15343.073419267155,49.617704700000196,9761.042628963,4905.449490305438,0.0,19144.03912269,10437.623701933295,19134.823164519992,0.0,-0.1556729870098934,179491340.0,20132565.333333336,159358799.55759433,11.745698000000006
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,2,0.02,0.0024810403000000013,0.0021732954576600062,-7.167053700000125e-05,49.92183344234,27717.95926499,14794.29107796682,49.921814700000226,9761.072299308,4905.70308768349,0.0,17963.10272411,9888.587771527813,17956.88654878,0.0,-0.0025471379958617035,128613620.0,10469540.666666666,131053087.15256543,10.80262400000003
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,3,0.03,0.002726626600000003,0.0023128436497399985,-9.502390999999927e-05,50.18724760032,26919.72840616,14460.725427243568,50.18727329999991,9761.094541520999,4905.932184272596,0.0,17163.69019026,9554.793003993143,17158.633445249994,0.0,-0.013594444011687301,126159390.0,8778912.0,125989480.1787292,10.08557200000058
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,4,0.04,0.0026543776000000005,0.002226814440710014,-0.00011772138899999928,50.45123517222,26709.25648869,14461.511049780682,50.45096610000052,9761.11365042,4906.154846541609,0.0,16953.13914828,9555.35597856064,16948.14242016,0.0,-0.05477064500155393,123104350.0,7618629.333333335,123031757.52089706,10.138980000000002
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,5,0.05,0.002589958500000008,0.002153963068490039,-0.0001395875919999984,50.70781249424,26432.53174322,14396.766522268237,50.707595700000496,9761.130565803,4906.369353993074,0.0,16675.27771272,9490.396938746564,16671.400760610002,0.0,-0.013135883993527386,122427170.0,6799204.000000001,122425952.56472987,10.076926000000002
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,6,0.06,0.0025528986000000107,0.0021005570727900677,-0.00016085414099999853,50.96002873168,26185.15164316,14336.325243442128,50.96020319999986,9761.145946902,4906.577978838704,0.0,16427.55350489,9429.7470245166,16424.00527952,0.0,-0.011177192500326782,122714020.0,6204862.800000001,122707211.76418623,10.032838000000012
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,7,0.07,0.0025229547000000037,0.0020542599391201164,-0.00018162504999999705,51.2089523298,25957.52587122,14276.187570995622,51.208788599999714,9761.160172382999,4906.781741456002,0.0,16199.68045245,9369.405602038978,16196.365282740002,0.0,-0.008231764999436564,124197080.0,5741194.533333334,124194686.18348628,9.940184600000473
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,8,0.08,0.0024990027000000342,0.0020138558694901515,-0.00020196284600000074,51.45521231576,25747.42841087,14216.542807649434,51.4555101,9761.173478667,4906.981255234755,0.0,15989.30792256,9309.56134400362,15986.254512540003,0.0,-0.010602925998682622,120810510.0,5367539.200000001,120805338.49337414,9.959566100000004
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,9,0.09,0.0024789409000000135,0.001977735622050171,-0.00022192037700000046,51.69931608734,25546.8317025,14156.148562649747,51.69928859999966,9761.186046258,4907.177038613873,0.0,15788.52608453,9248.971346478189,15785.645239679998,0.0,-0.009655648005718831,120937930.0,5062891.800000001,120936846.55589537,9.944284400000003
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,10,0.1,0.00246067530000001,0.0019449779599803412,-0.00024153413600000144,51.94167651567,25354.24103163,14094.420151994971,51.94139939999965,9761.198033097,4907.369449589721,0.0,15595.78633426,9187.050492195383,15593.04258196,0.0,-0.00847380599770986,121287300.0,4793616.9333333345,121318523.7607883,9.922479600000047
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,11,0.11,0.002446219800000018,0.001914826929810377,-0.00026084172800000093,52.18253593544,25176.52763369,14035.968210721941,52.18233300000026,9761.209512759,4907.558857067192,0.0,15417.95838635,9128.40913348851,15415.317703579998,0.0,-0.003896529500707402,129381170.0,4577578.333333334,129386660.70472308,9.763875000000002
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,12,0.12,0.002438562500000008,0.0018900669979708112,-0.0002798618450000022,52.42199255314,25006.51764178,13976.52709939947,52.4220894000004,9761.220489168,4907.745444414962,0.0,15247.78761323,9068.781446774019,15245.296736440001,0.0,-0.008816294501230004,119946950.0,4405116.333333334,119931561.52089706,9.882040000000007
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,13,0.13,0.0024192841000000073,0.0018586392415618034,-0.0002986145594999979,52.66031382502,24842.06509608,13918.31473873619,52.65998189999989,9761.231051595001,4907.929408544206,0.0,15083.24008277,9010.385133098758,15080.83362935,0.0,-0.007959984503031592,120102910.0,4224033.066666667,120100833.23207614,9.875760100000006
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,14,0.14,0.0024123590000000015,0.0018376883465857042,-0.0003170968070000032,52.89728743737,24676.67235791,13854.878047841854,52.897383900000186,9761.241205926,4908.1107193922035,0.0,14917.7662539,8946.767123271726,14915.430732679999,0.0,-0.006942231999346404,121228850.0,4079744.5333333337,121225645.98233096,9.841896100000072
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,15,0.15,0.0024044656000000004,0.0018164711125781797,-0.0003353562990000004,53.13340203861,24521.4569166,13794.87274063008,53.13360870000001,9761.251178772,4908.289845008695,0.0,14762.78883417,8886.582690419964,14760.205319139995,0.0,-0.02835190450787195,119132970.0,3950137.6666666674,119121246.95820594,9.825475700000002
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,16,0.16,0.002391409800000017,0.001791659634965699,-0.0003533937010000009,53.36857584438,24373.86115511,13735.831127926547,53.36875439999985,9761.260904406001,4908.46679192237,0.0,14614.76763349,8827.364144000065,14612.599832209997,0.0,-0.007739901502645807,119097730.0,3831592.6666666674,119093463.37410806,9.8138533
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,17,0.17,0.0023841201000000057,0.0017726037249561014,-0.00037120650960000316,53.60273778278,24228.41513169,13676.187513732308,53.60262479999982,9761.270336721,4908.6415355746885,0.0,14469.2527268,8767.54576594468,14467.144376570004,0.0,-0.007232844496684265,119469040.0,3716878.933333334,119462416.34998304,9.803240800000019
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,18,0.18,0.0023703724000000135,0.0017485771395403926,-0.0003888236189999999,53.83609937779,24089.38248725,13618.103848854784,53.83590660000011,9761.279592456,4908.8143594178955,0.0,14330.15749687,8709.289260199632,14328.102478699997,0.0,-0.005084542004624382,121508060.0,3608266.533333334,121527948.63676523,9.728610000000481
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,19,0.19,0.0023646767000000007,0.0017316070386788629,-0.0004062362419999943,54.06841894304,23952.43258331,13559.061682113363,54.06859979999961,9761.28858234,4908.9851772495285,0.0,14193.41627939,8650.076289170825,14191.143581899994,0.0,-0.024935363504482666,118238100.0,3487032.866666667,118226969.63506627,9.7512331
Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20,0.20,20,0.2,0.0023552603000000457,0.001713658760259275,-0.0004234570813000003,54.29982003616,23818.22354358,13499.327716506079,54.299625300000535,9761.297343651,4909.15411368307,0.0,14058.88619757,8590.173391160368,14056.925780569998,0.0,-0.006822261502748006,118257020.0,3441881.066666667,118256281.71253824,9.736120200000018
