case,part,time,region,total,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts
slower_half_velocity,9,0.009048,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,10,0.010054,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,10,0.010054,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,10,0.010054,interior,63,32,31,0,0,0,0:32|1:31
slower_half_velocity,10,0.010054,lateral_boundary,196,36,160,0,0,0,0:36|1:160
slower_half_velocity,10,0.010054,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,11,0.011059,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,11,0.011059,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,11,0.011059,interior,67,20,47,0,0,0,0:20|1:47
slower_half_velocity,11,0.011059,lateral_boundary,192,28,164,0,0,0,0:28|1:164
slower_half_velocity,11,0.011059,top_cap_zone,18,0,16,0,2,2,-3:2|1:16
slower_half_velocity,12,0.012064,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,12,0.012064,edge,112,0,112,0,0,0,1:112
slower_half_velocity,12,0.012064,interior,71,20,51,0,0,0,0:20|1:51
slower_half_velocity,12,0.012064,lateral_boundary,188,16,172,0,0,0,0:16|1:172
slower_half_velocity,12,0.012064,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,13,0.01307,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,13,0.01307,edge,112,0,112,0,0,0,1:112
slower_half_velocity,13,0.01307,interior,75,24,51,0,0,0,0:24|1:51
slower_half_velocity,13,0.01307,lateral_boundary,184,16,168,0,0,0,0:16|1:168
slower_half_velocity,13,0.01307,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,14,0.014075,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,14,0.014075,edge,112,0,112,0,0,0,1:112
slower_half_velocity,14,0.014075,interior,75,20,55,0,0,0,0:20|1:55
slower_half_velocity,14,0.014075,lateral_boundary,184,8,176,0,0,0,0:8|1:176
slower_half_velocity,14,0.014075,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,15,0.015081,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,15,0.015081,edge,112,0,112,0,0,0,1:112
slower_half_velocity,15,0.015081,interior,75,20,55,0,0,0,0:20|1:55
slower_half_velocity,15,0.015081,lateral_boundary,184,8,176,0,0,0,0:8|1:176
slower_half_velocity,15,0.015081,top_cap_zone,18,0,17,0,1,1,-3:1|1:17
slower_half_velocity,16,0.016086,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,16,0.016086,edge,112,0,112,0,0,0,1:112
slower_half_velocity,16,0.016086,interior,75,20,55,0,0,0,0:20|1:55
slower_half_velocity,16,0.016086,lateral_boundary,184,8,176,0,0,0,0:8|1:176
slower_half_velocity,16,0.016086,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,17,0.017091,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,17,0.017091,edge,112,0,112,0,0,0,1:112
slower_half_velocity,17,0.017091,interior,79,24,55,0,0,0,0:24|1:55
slower_half_velocity,17,0.017091,lateral_boundary,180,4,176,0,0,0,0:4|1:176
slower_half_velocity,17,0.017091,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,18,0.018097,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,18,0.018097,edge,112,0,112,0,0,0,1:112
slower_half_velocity,18,0.018097,interior,83,20,63,0,0,0,0:20|1:63
slower_half_velocity,18,0.018097,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,18,0.018097,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,19,0.019002,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,19,0.019002,edge,112,0,112,0,0,0,1:112
slower_half_velocity,19,0.019002,interior,83,20,63,0,0,0,0:20|1:63
slower_half_velocity,19,0.019002,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,19,0.019002,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,20,0.020007,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,20,0.020007,edge,112,0,112,0,0,0,1:112
slower_half_velocity,20,0.020007,interior,83,20,63,0,0,0,0:20|1:63
slower_half_velocity,20,0.020007,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,20,0.020007,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,21,0.021012,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,21,0.021012,edge,112,0,112,0,0,0,1:112
slower_half_velocity,21,0.021012,interior,83,20,63,0,0,0,0:20|1:63
slower_half_velocity,21,0.021012,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,21,0.021012,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,22,0.022018,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,22,0.022018,edge,112,0,112,0,0,0,1:112
slower_half_velocity,22,0.022018,interior,83,20,63,0,0,0,0:20|1:63
slower_half_velocity,22,0.022018,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,22,0.022018,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,23,0.023023,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,23,0.023023,edge,112,0,112,0,0,0,1:112
slower_half_velocity,23,0.023023,interior,83,16,67,0,0,0,0:16|1:67
slower_half_velocity,23,0.023023,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,23,0.023023,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,24,0.024028,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,24,0.024028,edge,112,0,112,0,0,0,1:112
slower_half_velocity,24,0.024028,interior,83,16,67,0,0,0,0:16|1:67
slower_half_velocity,24,0.024028,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,24,0.024028,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,25,0.025034,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,25,0.025034,edge,112,0,112,0,0,0,1:112
slower_half_velocity,25,0.025034,interior,83,16,67,0,0,0,0:16|1:67
slower_half_velocity,25,0.025034,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,25,0.025034,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,26,0.026039,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,26,0.026039,edge,112,0,112,0,0,0,1:112
slower_half_velocity,26,0.026039,interior,83,16,67,0,0,0,0:16|1:67
slower_half_velocity,26,0.026039,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,26,0.026039,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,27,0.027045,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,27,0.027045,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,27,0.027045,interior,83,16,67,0,0,0,0:16|1:67
slower_half_velocity,27,0.027045,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,27,0.027045,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,28,0.02805,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,28,0.02805,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,28,0.02805,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,28,0.02805,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,28,0.02805,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,29,0.029055,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,29,0.029055,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,29,0.029055,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,29,0.029055,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,29,0.029055,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,30,0.030061,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,30,0.030061,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,30,0.030061,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,30,0.030061,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,30,0.030061,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,31,0.031066,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,31,0.031066,edge,112,0,104,0,8,8,-3:8|1:104
slower_half_velocity,31,0.031066,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,31,0.031066,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,31,0.031066,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,32,0.032071,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,32,0.032071,edge,112,0,112,0,0,0,1:112
slower_half_velocity,32,0.032071,interior,83,12,71,0,0,0,0:12|1:71
slower_half_velocity,32,0.032071,lateral_boundary,176,0,176,0,0,0,1:176
slower_half_velocity,32,0.032071,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,33,0.033077,bottom_cap_zone,18,0,18,0,0,0,1:18
