step,time,factor,applied,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,kind,scale,relax,limiter
53.0,0.00438196,0.921306,407.0,784354.0,231025.0,784354.0,231025.0,54104.0,830.0,2.07184,0.0,0.0,0.0,572951.0,784354.0,132670.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
54.0,0.00438699,0.924658,407.0,949530.0,264606.0,949530.0,264606.0,54598.8,6641.21,2.06264,0.0,0.0,0.0,675515.0,949530.0,140147.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
55.0,0.00439201,0.928009,407.0,1113180.0,298472.0,1113180.0,298472.0,55246.8,1167.46,2.05085,0.0,0.0,0.0,776388.0,1113180.0,147652.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
56.0,0.00439704,0.931361,407.0,1273720.0,332475.0,1273720.0,332475.0,56059.7,548.029,2.0362,0.0,0.0,0.0,875132.0,1273720.0,155309.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
57.0,0.00440207,0.934712,407.0,1428840.0,366531.0,1428840.0,366531.0,56954.7,362.258,2.01835,0.0,0.0,0.0,971079.0,1428840.0,163250.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
58.0,0.0044071,0.938063,407.0,1575480.0,400733.0,1575480.0,400733.0,57930.7,317.033,1.99694,0.0,0.0,0.0,1063300.0,1575480.0,171605.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
59.0,0.00441212,0.941415,407.0,1709830.0,434662.0,1709830.0,434662.0,59004.1,405.653,1.98323,0.0,0.0,0.0,1150570.0,1709830.0,180500.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
60.0,0.00441715,0.944766,407.0,633382.0,246683.0,633382.0,246683.0,60173.0,482.001,1.97109,0.0,0.0,0.0,452965.0,633382.0,179389.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
61.0,0.00442218,0.948118,407.0,762672.0,273675.0,762672.0,273675.0,59738.6,802.194,1.95689,0.0,0.0,0.0,536866.0,762672.0,188262.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
62.0,0.0044272,0.951469,407.0,869963.0,300282.0,869963.0,300282.0,59411.5,1824.1,1.94078,0.0,0.0,0.0,611098.0,869963.0,196742.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
63.0,0.00443223,0.95482,407.0,987291.0,325897.0,987291.0,325897.0,59172.8,40542.2,1.92267,0.0,0.0,0.0,675244.0,987291.0,204898.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
64.0,0.00443726,0.958172,407.0,1127790.0,350090.0,1127790.0,350090.0,59033.9,2007.89,1.90245,0.0,0.0,0.0,728872.0,1127790.0,212805.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
