case,part,time,axial_strain_proxy,pairwise_top_fz,pairwise_bottom_fz,pairwise_reaction_avg_abs,pairwise_reaction_avg_compression,reaction_axial_stress_avg,top_axial_stress,bottom_axial_stress,force_balance_error,Fz_proxy,pairwise_over_Fz_proxy,p_proxy,q_proxy,MccPc_mean,MccYieldFlag_fraction,MccEqPlasticStrain_max
mcc_mild_yield,11,0.005529,0.00012678899500004337,0.319048,-0.235437,0.2772425,0.2772425,98.05445,112.84,83.2689,0.15079,0.247583924377175,1.1197920086994115,45.472043552350506,63.13928598719893,119.94183304668279,0.9975429975429976,0.00062738446
mcc_mild_yield,12,0.006032,0.00014153063300006985,0.310969,-0.256506,0.2837375,0.2837375,100.35165,109.983,90.7203,0.0959757,0.25284411060924417,1.1221835435134961,47.63815545470927,62.68073360171992,119.92931896805904,1.0,0.00070687983
mcc_mild_yield,13,0.006535,0.0001561754700001028,0.310969,-0.256506,0.2837375,0.2837375,100.35165,109.983,90.7203,0.0959757,0.2559545324685204,1.1085464955964262,48.940734757199,62.376994694668305,119.91702906633913,0.995085995085995,0.0007881705
mcc_mild_yield,14,0.007037,0.0001707631900001172,0.309861,-0.273433,0.291647,0.291647,103.1491,109.591,96.7072,0.0624526,0.2560213975792896,1.1391508786279365,48.958828844807556,62.38532660625315,119.90480697788678,0.9852579852579852,0.00087038544
mcc_mild_yield,15,0.00754,0.00018533923799995966,0.309861,-0.273433,0.291647,0.291647,103.1491,109.591,96.7072,0.0624526,0.2531365956996045,1.1521328996068807,48.035154638099925,62.240402986339035,119.89247235872232,0.9852579852579852,0.00094067689
mcc_mild_yield,16,0.008043,0.00019985242300013528,0.312116,-0.268043,0.2900795,0.2900795,102.59435,110.388,94.8007,0.0759669,0.2500432061045428,1.1601175033674704,46.27860813852582,63.23412858603604,119.88060933660933,0.9754299754299754,0.0010195706
mcc_mild_yield,17,0.008545,0.00021430404300012973,0.312116,-0.268043,0.2900795,0.2900795,102.59435,110.388,94.8007,0.0759669,0.2490707093763971,1.1646471828272273,45.66173630769862,63.64351079497028,119.86866616707593,0.9852579852579852,0.0010977566
mcc_mild_yield,18,0.009048,0.0002287717679999579,0.344856,-0.263298,0.304077,0.304077,107.5452,121.968,93.1224,0.134108,0.2515035691416781,1.2090365199895274,46.28829765597871,63.99434096450868,119.85701764127771,0.9754299754299754,0.0011749511
mcc_mild_yield,19,0.009551,0.000243390953000161,0.344856,-0.263298,0.304077,0.304077,107.5452,121.968,93.1224,0.134108,0.2558736349725738,1.188387385173908,47.57908770701881,64.3765478161305,119.84575800982789,0.9656019656019657,0.0012513698
mcc_mild_yield,20,0.010053,0.0002583861720001357,0.319127,-0.266868,0.2929975,0.2929975,103.6266,112.868,94.3852,0.0891795,0.2547433288985084,1.1501675088682395,49.11737296529896,61.4694739324747,119.83440582309593,0.9852579852579852,0.0013274918
mcc_mild_yield,21,0.010556,0.00027345230400002696,0.319127,-0.266868,0.2929975,0.2929975,103.6266,112.868,94.3852,0.0891795,0.2549950172929134,1.149032256043784,48.95529158542998,61.84612084233387,119.82347621621619,0.9754299754299754,0.001404275
mcc_mild_yield,22,0.011059,0.00028850714399994426,0.308162,-0.27096,0.28956099999999996,0.28956099999999996,102.41120000000001,108.99,95.8324,0.064239,0.2533497941529849,1.142929683318191,48.6323174262572,61.4577640967796,119.81181265356273,0.995085995085995,0.0014815286
mcc_mild_yield,23,0.011561,0.0003034814579999656,0.308162,-0.27096,0.28956099999999996,0.28956099999999996,102.41120000000001,108.99,95.8324,0.064239,0.25157587292130096,1.15098875197218,48.053764501015564,61.384499042179165,119.79979886977884,0.9926289926289926,0.0015589668
mcc_mild_yield,24,0.012064,0.00031837837400003344,0.301568,-0.271816,0.286692,0.286692,101.39654999999999,106.658,96.1351,0.0518885,0.25011469864003455,1.1462421103551677,47.629392862506165,61.24587946791871,119.78738100737102,0.9852579852579852,0.0016364641
mcc_mild_yield,25,0.012566,0.0003331340410001049,0.301568,-0.271816,0.286692,0.286692,101.39654999999999,106.658,96.1351,0.0518885,0.24918980544184238,1.1504965040269681,47.46095281339965,61.00786846050221,119.77468714987691,0.995085995085995,0.0017138375
mcc_mild_yield,26,0.013069,0.00034789490100009535,0.299616,-0.271923,0.2857695,0.2857695,101.07015,105.967,96.1733,0.0484519,0.24878193178759161,1.1486746563411532,47.416883728810795,60.85758839329249,119.76185103194092,0.995085995085995,0.0017911197
mcc_mild_yield,27,0.013572,0.00036251632099998377,0.299616,-0.271923,0.2857695,0.2857695,101.07015,105.967,96.1733,0.0484519,0.24862017257280397,1.1494220160929118,47.43231015525794,60.74863282486922,119.74891169533164,0.995085995085995,0.0018683299
mcc_mild_yield,28,0.014074,0.0003770922170000246,0.298723,-0.272936,0.2858295,0.2858295,101.09174999999999,105.652,96.5315,0.0451077,0.24852643956437964,1.150096949447333,47.44278959084354,60.683186766075806,119.73590712530714,0.995085995085995,0.0019454572
mcc_mild_yield,29,0.014577,0.0003916153570000802,0.298723,-0.272936,0.2858295,0.2858295,101.09174999999999,105.652,96.5315,0.0451077,0.24839714257082568,1.1506956039902965,47.38112451807538,60.70709018971865,119.72285663390664,0.9852579852579852,0.0020224634
mcc_mild_yield,30,0.01508,0.00040607803799996844,0.297828,-0.274006,0.285917,0.285917,101.12244999999999,105.335,96.9099,0.0416584,0.24801233693827282,1.1528337804871422,47.32392135804259,60.588749201265664,119.70971100737101,0.995085995085995,0.0020993322
mcc_mild_yield,31,0.015582,0.00042050267100010585,0.297828,-0.274006,0.285917,0.285917,101.12244999999999,105.335,96.9099,0.0416584,0.2477911547855856,1.1538628174496575,47.255042961621605,60.57472601948803,119.69652665847653,0.9926289926289926,0.0021760617
mcc_mild_yield,32,0.016085,0.0004349519110000144,0.296809,-0.274621,0.285715,0.285715,101.0512,104.975,97.1274,0.0388281,0.2478351006657338,1.1528431575370612,47.19521186261263,60.687786681522645,119.6833335135135,0.9828009828009828,0.002252653
mcc_mild_yield,33,0.016588,0.0004492885050001727,0.296809,-0.274621,0.285715,0.285715,101.0512,104.975,97.1274,0.0388281,0.24767791152114793,1.1535748111135227,47.26765301049958,60.4957335284956,119.67005916461916,0.9926289926289926,0.0023290303
mcc_mild_yield,34,0.01709,0.0004636546450001444,0.296054,-0.276244,0.286149,0.286149,101.2047,104.708,97.7014,0.0346152,0.24800401614916187,1.1538079279647464,47.25976566036038,60.68056843208719,119.65687027027036,0.972972972972973,0.0024050788
mcc_mild_yield,35,0.017593,0.00047805187000010685,0.296054,-0.276244,0.286149,0.286149,101.2047,104.708,97.7014,0.0346152,0.24770343986144946,1.1552080187503841,47.34196609155608,60.397807112072904,119.64357267813291,0.995085995085995,0.0024808114
mcc_mild_yield,36,0.018096,0.0004923412500000557,0.296054,-0.276244,0.286149,0.286149,101.2047,104.708,97.7014,0.0346152,0.24781437833696118,1.1546908695140925,47.26133310780508,60.577611276883275,119.63033950859979,0.9754299754299754,0.0025562742
