nu,eta,root_index,xi,residual,scaled_residual
0.1,1.125,68,2.1361997816072687e+02,-6.7566929828899447e-10,3.1629499455365705e-12
0.1,1.125,69,2.1676169144006008e+02,5.5493387662863825e-10,2.5601104740441205e-12
0.1,1.125,70,2.1990340127240069e+02,3.1320723792305216e-10,1.4242946498795952e-12
0.1,1.125,71,2.2304510780342616e+02,9.9760200100718066e-11,4.4726468597820127e-13
0.1,1.125,72,2.2618681117071878e+02,2.4243718144134618e-10,1.0718449063685780e-12
0.1,1.125,73,2.2932851150432026e+02,2.9700686354772188e-11,1.2951152981346071e-13
0.1,1.125,74,2.3247020892724129e+02,6.6913230512000155e-10,2.8783572235163307e-12
0.1,1.125,75,2.3561190355593055e+02,7.5999651016900316e-10,3.2256286660242550e-12
0.1,1.125,76,2.3875359550070647e+02,-5.9282001529936679e-10,2.4829783780056733e-12
0.1,1.125,77,2.4189528486615524e+02,-4.1075054468819872e-10,1.6980510592237214e-12
0.1,1.125,78,2.4503697175149864e+02,5.4484416978084482e-10,2.2235182139460191e-12
0.1,1.125,79,2.4817865625093356e+02,3.1019453672342934e-10,1.2498840206846949e-12
0.1,1.125,80,2.5132033845394596e+02,2.7782220968219917e-10,1.1054505631775700e-12
0.1,1.125,81,2.5446201844560198e+02,-8.7021589934010990e-10,3.4198262854939261e-12
0.1,1.125,82,2.5760369630681726e+02,-4.0603254092275165e-10,1.5761906631927718e-12
0.1,1.125,83,2.6074537211460722e+02,1.2083773981430568e-09,4.6343196365775965e-12
0.1,1.125,84,2.6388704594231933e+02,1.5393197827506810e-10,5.8332525465696756e-13
0.1,1.125,85,2.6702871785984860e+02,-4.8225956561509520e-10,1.8060213503635650e-12
0.1,1.125,86,2.7017038793383858e+02,1.6672174751874991e-10,6.1709852361567894e-13
0.1,1.125,87,2.7331205622786831e+02,6.9826455728616565e-10,2.5548253045310886e-12
0.1,1.125,88,2.7645372280262632e+02,1.7088837012124714e-09,6.1814457909180069e-12
0.1,1.125,89,2.7959538771607322e+02,-8.2104634202551097e-10,2.9365518105730580e-12
0.1,1.125,90,2.8273705102359293e+02,1.1485781215014867e-09,4.0623544644701626e-12
0.1,1.125,91,2.8587871277813485e+02,-7.4464878707658499e-12,2.6047717223859654e-14
0.1,1.125,92,2.8902037303034570e+02,-1.6473791220050771e-09,5.6998719665762471e-12
0.1,1.125,93,2.9216203182869344e+02,-2.4584778657299466e-10,8.4147753571602108e-13
0.1,1.125,94,2.9530368921958348e+02,5.1670667744474486e-10,1.7497467735989754e-12
0.1,1.125,95,2.9844534524746689e+02,1.0970211405947339e-09,3.6757857278057603e-12
0.1,1.125,96,3.0158699995494248e+02,-2.6179804990533739e-09,8.6806808630494816e-12
0.1,1.125,97,3.0472865338285192e+02,-1.8250148059451021e-09,5.9889832665397846e-12
0.1,1.125,98,3.0787030557036985e+02,-1.9633716874523088e-10,6.3772687782113539e-13
0.1,1.125,99,3.1101195655508786e+02,2.0025368030474056e-09,6.4387775480259169e-12
0.1,1.125,100,3.1415360637309379e+02,-2.2659492060483899e-09,7.2128702649916828e-12
0.1,1.125,101,3.1729525505904576e+02,-2.0277184376027435e-09,6.3906358676098185e-12
