nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,5.2424289623120698e-03,1.1522382523866286e+00,200,paper_eq_46_47
0.1,1.125,5.3441642769156894e-03,1.1537734431326259e+00,200,paper_eq_46_47
0.1,1.125,5.4478738813593741e-03,1.1553246495666247e+00,200,paper_eq_46_47
0.1,1.125,5.5535960889897280e-03,1.1568920469692778e+00,200,paper_eq_46_47
0.1,1.125,5.6613699566675987e-03,1.1584758126257444e+00,200,paper_eq_46_47
0.1,1.125,5.7712352991967364e-03,1.1600761258478596e+00,200,paper_eq_46_47
0.1,1.125,5.8832327040326008e-03,1.1616931679964593e+00,200,paper_eq_46_47
0.1,1.125,5.9974035462765215e-03,1.1633271225038502e+00,200,paper_eq_46_47
0.1,1.125,6.1137900039608698e-03,1.1649781748964076e+00,200,paper_eq_46_47
0.1,1.125,6.2324350736308529e-03,1.1666465128173085e+00,200,paper_eq_46_47
0.1,1.125,6.3533825862286892e-03,1.1683323260493967e+00,200,paper_eq_46_47
0.1,1.125,6.4766772232860382e-03,1.1700358065381635e+00,200,paper_eq_46_47
0.1,1.125,6.6023645334306290e-03,1.1717571484148361e+00,200,paper_eq_46_47
0.1,1.125,6.7304909492133195e-03,1.1734965480195836e+00,200,paper_eq_46_47
0.1,1.125,6.8611038042615344e-03,1.1752542039248122e+00,200,paper_eq_46_47
0.1,1.125,6.9942513507657914e-03,1.1770303169585601e+00,200,paper_eq_46_47
0.1,1.125,7.1299827773053564e-03,1.1788250902279647e+00,200,paper_eq_46_47
0.1,1.125,7.2683482270200460e-03,1.1806387291428111e+00,200,paper_eq_46_47
0.1,1.125,7.4093988161344606e-03,1.1824714414391415e+00,200,paper_eq_46_47
0.1,1.125,7.5531866528418777e-03,1.1843234372029170e+00,200,paper_eq_46_47
0.1,1.125,7.6997648565545074e-03,1.1861949288937199e+00,200,paper_eq_46_47
0.1,1.125,7.8491875775273494e-03,1.1880861313684954e+00,200,paper_eq_46_47
0.1,1.125,8.0015100168628808e-03,1.1899972619052930e+00,200,paper_eq_46_47
0.1,1.125,8.1567884469039408e-03,1.1919285402270299e+00,200,paper_eq_46_47
0.1,1.125,8.3150802320223881e-03,1.1938801885252284e+00,200,paper_eq_46_47
0.1,1.125,8.4764438498111262e-03,1.1958524314837295e+00,200,paper_eq_46_47
0.1,1.125,8.6409389126875184e-03,1.1978454963023513e+00,200,paper_eq_46_47
