case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced
mode8_corrected_laplacian_dp008,0.00442326,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.332,1409.67,2283.75,-8573340.0,17717100.0,9153640.0,25620900.0
mode8_corrected_laplacian_dp008,0.00450363,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.338,1409.63,2283.66,-12857900.0,31209200.0,13331900.0,50022700.0
mode8_corrected_laplacian_dp008,0.00450363,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.344,1409.58,2283.58,-12857900.0,31209200.0,13331700.0,50020800.0
mode8_corrected_laplacian_dp008,0.004584,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.351,1409.54,2283.5,-16861900.0,47154600.0,17200600.0,73307200.0
mode8_corrected_laplacian_dp008,0.004584,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.357,1409.51,2283.42,-16862400.0,47156500.0,17200900.0,73306500.0
mode8_corrected_laplacian_dp008,0.00466437,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.364,1409.47,2283.34,-20681500.0,62715400.0,20863200.0,96125500.0
mode8_corrected_laplacian_dp008,0.00466437,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.371,1409.43,2283.26,-20682400.0,62719100.0,20863900.0,96126100.0
mode8_corrected_laplacian_dp008,0.00474475,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.379,1409.4,2283.19,-24408300.0,78313000.0,24421400.0,119116000.0
mode8_corrected_laplacian_dp008,0.00474475,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.387,1409.36,2283.11,-24409600.0,78318900.0,24422500.0,119118000.0
mode8_corrected_laplacian_dp008,0.00482512,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.395,1409.32,2283.03,-28132700.0,94373200.0,27977000.0,142923000.0
mode8_corrected_laplacian_dp008,0.00482512,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.403,1409.29,2282.96,-28134500.0,94381500.0,27978500.0,142927000.0
