case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,kplastic_fraction,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_mild_yield,20,0.010054,specimen_minus_edges,63,0,9533.82126893856,11511.606321390438,11910697.0,-0.007229647811111111,0.017930053,0.00051617372,0.00017734518961904757,63,1.0,-26.373825841269824,-26.373827158730144,-143.21076063492063,143.21076063492063,0.4049188861731057,65.31947121164019,116.83693413492067
dp_mild_yield,21,0.010556,specimen_minus_edges,63,0,8742.748168363338,12430.170106787344,6936903.0,-0.001444854278444445,0.010427059,0.00054116227,0.00018406650655555557,63,1.0,-29.018201800000003,-29.018203252380953,-148.23708847619048,148.23708847619048,0.41913049333170616,68.75783117619048,119.21888595000001
dp_mild_yield,22,0.011059,specimen_minus_edges,63,0,8115.794411878132,13149.058493201714,6896510.5,0.003854090786349206,0.010313893,0.00057126937,0.00019373802420634927,63,1.0,-27.57007412063493,-27.570075273015878,-147.28123841269849,147.28123841269849,0.41642789094804633,67.47379593544976,119.71116371587311
dp_mild_yield,23,0.011562,specimen_minus_edges,63,0,3759.0879933495244,14777.056990274195,9746104.0,0.007400786620634923,0.014632188,0.00060544023,0.00020597091595238093,63,1.0,-22.93776363333333,-22.937764568253968,-141.80748539682537,141.80748539682537,0.4009512189120376,62.561004532804226,118.86972129603174
dp_mild_yield,24,0.012064,specimen_minus_edges,63,0,965.0075831646026,15506.487242015608,8516186.0,0.008535422346031746,0.012759141,0.0006409295,0.00022000720030158728,63,1.0,-17.183997629365084,-17.183997917777774,-133.1688569047619,133.1688569047619,0.3765260722850553,55.84561748396825,115.98485913119048
dp_mild_yield,25,0.012567,specimen_minus_edges,63,0,-4036.5204904390107,15868.589882638651,6344798.5,0.006956177039682539,0.0094673121,0.00067471393,0.00023442343825396826,63,1.0,-12.510015611111115,-12.510014995238091,-123.63691715873017,123.63691715873017,0.3495751475925209,49.55231592169312,111.12690185555556
dp_mild_yield,26,0.01307,specimen_minus_edges,63,0,-5635.686431179817,15348.508421062013,4245288.5,0.0029927831003650797,0.0063383994,0.00070477155,0.0002465110214444445,63,1.0,-9.798991381746028,-9.79899096714286,-117.91721131746027,117.91721131746027,0.33340306032605554,45.83839788878305,108.11822014301583
dp_mild_yield,27,0.013572,specimen_minus_edges,63,0,-7895.544483406824,15040.371027095465,5026561.0,-0.0019166953197301585,0.0075156246,0.00073073723,0.0002555885935079365,63,1.0,-10.14191523142857,-10.141915784920633,-117.9264754920635,117.9264754920635,0.33342925416264313,46.07010216947091,107.7845599838889
dp_mild_yield,28,0.014075,specimen_minus_edges,63,0,-6499.733576645,14432.385618255801,6580571.5,-0.005379472822222223,0.0098987631,0.00075384369,0.000262732802047619,63,1.0,-13.614372957142859,-13.614373650793656,-122.34904828571425,122.34904828571425,0.34593378414129244,49.859264964550256,108.734674981746
dp_mild_yield,29,0.014578,specimen_minus_edges,63,0,-6876.40214826281,14577.929812915987,6975597.0,-0.005665415711111109,0.010470451,0.00077623292,0.0002692785967619047,63,1.0,-18.267269541428576,-18.267270492063492,-128.49332923809519,128.49332923809519,0.36330632925272494,55.009289757195745,110.22605922134919
dp_mild_yield,30,0.01508,specimen_minus_edges,63,0,-5479.539642059027,14658.033720514715,5041633.5,-0.0029236041619047624,0.0076277955,0.00079988356,0.00027636270707936516,63,1.0,-21.45076284603174,-21.450763212222217,-133.5035204920635,133.5035204920635,0.377472311285617,58.80168218343915,112.05275746293657
dp_mild_yield,31,0.015583,specimen_minus_edges,63,0,-7855.821996033015,15252.882396925823,2566912.0,0.0012279324653968252,0.0038602212,0.00082582567,0.0002850074139047619,63,1.0,-21.703801463968258,-21.703801667460322,-134.9432087777778,134.9432087777778,0.38154293401329037,59.45027063640213,113.23940721206357
dp_mild_yield,32,0.016086,specimen_minus_edges,63,0,-9038.037969651235,15490.6520704776,4670849.0,0.004772787966349207,0.0069854604,0.00085392664,0.00029530734358730165,63,1.0,-18.960566596825398,-18.96056589206349,-132.43771984126982,132.43771984126982,0.3744588309403648,56.7862841100529,113.47715359682545
dp_mild_yield,33,0.016589,specimen_minus_edges,63,0,-13672.159602346186,15845.291652620883,5070151.5,0.006154943564126983,0.0076213698,0.00088312209,0.0003072248141904762,63,1.0,-14.960169129365077,-14.96016787031746,-126.58772019047616,126.58772019047616,0.3579183466065722,52.16935239671957,111.62755169063495
dp_mild_yield,34,0.017091,specimen_minus_edges,63,0,-15580.827368110044,15904.575443125394,4942835.5,0.00499305998857143,0.0073837223,0.00091197854,0.0003196426907301587,63,1.0,-11.48353369974603,-11.483532203095239,-120.09413750793651,120.09413750793651,0.33955817412072214,47.68706780359259,108.61060455651592
dp_mild_yield,35,0.017594,specimen_minus_edges,63,0,-19515.55767098817,16001.31200433488,3095046.5,0.0020526422335238096,0.0046423404,0.00093929854,0.00033101660522222217,63,1.0,-9.623385433809526,-9.623384175873017,-116.2284859047619,116.2284859047619,0.3286283017106383,45.15841850481481,106.60510109992065
dp_mild_yield,36,0.018097,specimen_minus_edges,63,0,-19551.696713082758,16092.083722779556,2069230.6,-0.0012051603935555558,0.0031553507,0.00096455019,0.0003405897008730159,63,1.0,-9.794556222380947,-9.79455537269841,-116.50174328571427,116.50174328571427,0.32940091875312355,45.36361829359788,106.70718748817458
