path,step,yield_flag,return_status,iterations,residual,yield_f,plastic_multiplier
drained_like,118,1,plastic_converged,5,0.0001353312563878717,0.0001353312582068611,1.0125095618023622e-06
drained_like,119,1,plastic_converged,5,0.0001365009302389808,0.000136500926601002,1.0099146989718632e-06
drained_like,120,1,plastic_converged,5,0.0001376693153360975,0.0001376693217025604,1.0073248090664654e-06
drained_like,121,1,plastic_converged,5,0.00013883610517950729,0.00013883610336051788,1.0047399810344401e-06
drained_like,122,1,plastic_converged,5,0.00014000190003571333,0.00014000189821672393,1.0021603000254556e-06
drained_like,123,1,plastic_converged,5,0.00014116653892415343,0.00014116654710960574,9.99585847535095e-07
drained_like,124,1,plastic_converged,5,0.00014233028014132287,0.00014233028650778579,9.970167015277063e-07
drained_like,125,1,plastic_converged,5,0.00014349285083881114,0.00014349284447234822,9.94452936564086e-07
drained_like,126,1,plastic_converged,5,0.00014465472577285254,0.00014465472759184195,9.918946239220393e-07
drained_like,127,1,plastic_converged,5,0.0001458158585592173,0.00014581586674466962,9.893418317159908e-07
drained_like,128,1,plastic_converged,5,0.00014697642927785637,0.00014697642745886697,9.867946250040314e-07
drained_like,129,1,plastic_converged,5,0.0001481365670770174,0.0001481365670770174,9.842530658986951e-07
drained_like,130,1,plastic_converged,5,0.00014929600365576334,0.00014929601184121566,9.81717213671141e-07
drained_like,131,1,plastic_converged,5,0.00015045537293190137,0.00015045536474644905,9.791871248500782e-07
