step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
57,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,174.37512938276052,174.37512938276052,174.37512938276052,0.0,0.0,0.0,-174.37512938276052,-174.37512938276052,-174.37512938276052,174.37512938276052,0.0,174.375129391183,0.7544069716461477,0.00779997846528313,0.0077999784652831305,1.2288716680891576e-06,-2.11488865066524e-06,plastic_converged,1,3,-2.11488865066524e-06,0.0,4.8300978482495647e-11
58,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,174.96560976701335,174.96560976701335,174.96560976701335,0.0,0.0,0.0,-174.96560976701335,-174.96560976701335,-174.96560976701335,174.96560976701335,0.0,174.9656097756101,0.7536174885089069,0.008108263718665088,0.00810826371866509,1.223594635602103e-06,-2.1659534766811004e-06,plastic_converged,1,3,-2.1659534766811004e-06,0.0,4.913390056565334e-11
59,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,175.55727567920886,175.55727567920886,175.55727567920886,0.0,0.0,0.0,-175.55727567920886,-175.55727567920886,-175.55727567920886,175.55727567920886,0.0,175.55727568798298,0.7528283606390779,0.008416264461298496,0.008416264461298497,1.2183454305138397e-06,-2.2181199674620045e-06,plastic_converged,1,3,-2.2181199674620045e-06,0.0,4.997869058570426e-11
60,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,176.15012652802096,176.15012652802096,176.15012652802096,0.0,0.0,0.0,-176.15012652802096,-176.15012652802096,-176.15012652802096,176.15012652802093,6.029155041345696e-14,176.15012653697684,0.7520395878767903,0.008723980835529218,0.00872398083552922,1.2131238891048083e-06,-2.2717214352720684e-06,plastic_converged,1,3,-2.271714225929763e-06,0.0,5.08424727887763e-11
61,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,176.7441617152085,176.7441617152085,176.7441617152085,0.0,0.0,0.0,-176.7441617152085,-176.7441617152085,-176.7441617152085,176.7441617152085,0.0,176.7441617243493,0.7512511700622457,0.009031412985373166,0.009031412985373168,1.2079298486690137e-06,-2.3264445709759255e-06,plastic_converged,1,3,-2.326451804630464e-06,0.0,5.171780254335078e-11
62,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,177.33938063563937,177.33938063563937,177.33938063563937,0.0,0.0,0.0,-177.33938063563937,-177.33938063563937,-177.33938063563937,177.33938063563937,0.0,177.3393806449685,0.7504631070357177,0.009338561056510736,0.009338561056510737,1.2027631475310735e-06,-2.3823636576896873e-06,plastic_converged,1,3,-2.3823636576896873e-06,0.0,5.260598885480019e-11
63,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,177.93578267732852,177.93578267732852,177.93578267732852,0.0,0.0,0.0,-177.93578267732852,-177.93578267732852,-177.93578267732852,177.93578267732855,6.029155041345696e-14,177.9357826868505,0.7496753986375516,0.009645425196277462,0.009645425196277464,1.1976236250247044e-06,-2.439786926066535e-06,plastic_converged,1,3,-2.4397942084908565e-06,0.0,5.3513434096442406e-11
64,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,178.53336722148345,178.53336722148345,178.53336722148345,0.0,0.0,0.0,-178.53336722148345,-178.53336722148345,-178.53336722148345,178.53336722148345,0.0,178.53336723120177,0.7488880447081647,0.009952005553654416,0.009952005553654417,1.192511121485124e-06,-2.4984640216975614e-06,plastic_converged,1,3,-2.498456714815741e-06,0.0,5.443419637115257e-11
65,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,179.13213364252746,179.13213364252746,179.13213364252746,0.0,0.0,0.0,-179.13213364252746,-179.13213364252746,-179.13213364252746,179.13213364252746,0.0,179.13213365244553,0.7481010450880461,0.010258302279261326,0.010258302279261328,1.1874254782533443e-06,-2.5583683800153732e-06,plastic_converged,1,3,-2.5583683800153732e-06,0.0,5.5367331043945336e-11
66,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,179.73208130814675,179.73208130814675,179.73208130814675,0.0,0.0,0.0,-179.73208130814675,-179.73208130814675,-179.73208130814675,179.73208130814677,6.029155041345696e-14,179.7320813182681,0.7473143996177565,0.010564315525346897,0.0105643155253469,1.1823665376586854e-06,-2.6195391840213274e-06,plastic_converged,1,3,-2.6195465399632328e-06,0.0,5.631332878606851e-11
67,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,180.3332095793165,180.3332095793165,180.3332095793165,0.0,0.0,0.0,-180.3332095793165,-180.3332095793165,-180.3332095793165,180.3332095793165,0.0,180.33320958964475,0.7465281081379285,0.010870045445782,0.010870045445782002,1.1773341430235924e-06,-2.6820381856755785e-06,plastic_converged,1,3,-2.682030805131139e-06,0.0,5.727314607523007e-11
68,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,180.93551781034486,180.93551781034486,180.93551781034486,0.0,0.0,0.0,-180.93551781034486,-180.93551781034486,-180.93551781034486,180.93551781034486,0.0,180.93551782088636,0.7457421704892664,0.011175492196049103,0.011175492196049103,1.172328138642711e-06,-2.746557303562763e-06,plastic_converged,1,3,-2.746557303562763e-06,0.0,5.82610781335618e-11
69,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,181.53900534891258,181.53900534891258,181.53900534891258,0.0,0.0,0.0,-181.53900534891258,-181.53900534891258,-181.53900534891258,181.53900534891258,0.0,181.5390053596697,0.7449565865125463,0.011480655933234333,0.011480655933234333,1.1673483697866628e-06,-2.81208127672564e-06,plastic_converged,1,3,-2.81208127672564e-06,0.0,5.925506426195252e-11
