step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
98,0.00581009,1.0,51,356,873116.0,454467.0,873116.0,454467.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
99,0.00582877,1.0,51,356,844795.0,448291.0,844795.0,448291.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
100,0.00585576,1.0,51,356,317028.0,186099.0,317028.0,186099.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
101,0.00586981,1.0,51,356,73455.9,55445.4,73455.9,55445.4,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
102,0.00587904,1.0,51,356,140619.0,60511.0,140619.0,60511.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
103,0.00588789,1.0,51,356,306866.0,137013.0,306866.0,137013.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
104,0.00589685,1.0,51,356,458480.0,218913.0,458480.0,218913.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
105,0.00590636,1.0,51,356,594335.0,296990.0,594335.0,296990.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
106,0.00591695,1.0,51,356,723093.0,367114.0,723093.0,367114.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
107,0.00592961,1.0,51,356,819575.0,421237.0,819575.0,421237.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
108,0.00594677,1.0,51,356,831553.0,434537.0,831553.0,434537.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
109,0.00596846,1.0,51,356,677990.0,346756.0,677990.0,346756.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
110,0.00598707,1.0,51,356,214285.0,98132.3,214285.0,98132.3,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
111,0.00599705,1.0,51,356,26869.1,15390.2,26869.1,15390.2,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
