case,configured_dp,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,resolution,time
coarse_diffusion,0.01,24,553.2561465536,553.2561465536,553.2559353694166,553.25590398295,553.25604600309,553.256111541195,553.256140985875,5,diffusion,4,1.0,0.95,coarse,0.005027
coarse_diffusion,0.01,1,542.4310967859,542.4310967859,542.4310967859,542.4310967859,542.4310967859,542.4310967859,542.4310967859,6,diffusion,4,0.2,0.0,coarse,0.006032
coarse_diffusion,0.01,26,536.6053229346,536.6053229346,529.4789819806961,529.8252804029,536.6053160604,536.6053208676,536.605322785525,6,diffusion,4,0.4,0.2,coarse,0.006032
coarse_diffusion,0.01,66,515.0940687021,515.0940687021,509.5725756078378,509.8334125775,510.96668344575,515.0940504228499,515.09406560017,6,diffusion,4,0.6,0.4,coarse,0.006032
coarse_diffusion,0.01,158,508.0823253458,508.0823253458,491.47501082380444,484.9670040922,508.08224711587,508.082268838215,508.082302379245,6,diffusion,4,0.8,0.6,coarse,0.006032
coarse_diffusion,0.01,138,488.0681320565,488.0681320565,479.35135395230935,484.62563151455004,488.06807257098,488.06810919076497,488.068127778129,6,diffusion,4,0.9,0.8,coarse,0.006032
coarse_diffusion,0.01,72,479.0133420139,479.0133420139,474.0968075670194,471.6386802339,479.01320622724,479.0132219096,479.01332643053604,6,diffusion,4,0.95,0.9,coarse,0.006032
coarse_diffusion,0.01,24,509.6964716407,509.6964716407,509.6963327643668,509.69632318720005,509.69645225503996,509.69645749951997,509.696468476245,6,diffusion,4,1.0,0.95,coarse,0.006032
finer_diffusion,0.008,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,0.2,0.0,finer,0.0
finer_diffusion,0.008,74,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,0.4,0.2,finer,0.0
finer_diffusion,0.008,170,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,0.6,0.4,finer,0.0
finer_diffusion,0.008,240,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,0.8,0.6,finer,0.0
finer_diffusion,0.008,248,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,0.9,0.8,finer,0.0
finer_diffusion,0.008,156,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,0.95,0.9,finer,0.0
finer_diffusion,0.008,126,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,4,1.0,0.95,finer,0.0
finer_diffusion,0.008,7,902.6782859277,902.6782859277,889.8370111414285,887.6967969228,893.6894037414,898.18384483455,901.77939770907,1,diffusion,4,0.2,0.0,finer,0.001046
finer_diffusion,0.008,74,872.8580049685,872.8580049685,848.9590566401417,843.5068257330499,872.85798405895,872.8579875386199,872.8579953353471,1,diffusion,4,0.4,0.2,finer,0.001046
finer_diffusion,0.008,170,878.5209020543,878.5209020543,859.4358986801675,855.2544364640501,878.5208887012,878.520892974165,878.5208973728891,1,diffusion,4,0.6,0.4,finer,0.001046
finer_diffusion,0.008,234,851.4077840812,851.4077840812,833.8633414395296,831.41628280165,845.17460446722,845.1746201455401,851.407757911849,1,diffusion,4,0.8,0.6,finer,0.001046
finer_diffusion,0.008,254,833.1457957085,833.1457957085,827.7440339380022,827.1729589484,831.38125668486,831.3812720175899,833.1457881679,1,diffusion,4,0.9,0.8,finer,0.001046
