variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
gap_2dp,1,bottom_cap_zone,250,250,0,250,151.488,104.56,0.9875091106085323,0.022616366714657516,0.030012270102093966,0.0006953496059999969,28402262.0,-16.6237307452292,37.01443074933713,-7.846576972875929,29.23275,119.99939352000011,0.800050643200002,-4.4732418992000035e-07,0.09686430520000029,-7.207105790312398,0.0203776115440409,-24244.036211274917,3148.7675237610983,0.0003880909595385704
gap_2dp,1,edge_ring,1304,1304,0,1304,94.0,71.5122699386503,0.6988068043073474,0.03153148777221358,0.03981599387242313,0.007113654560015279,34356564.0,-21.857384284382142,43.76848218935113,-3.1633651918503483,42.448624,119.99909938650315,0.8000509265337405,-6.677440165337408e-07,0.09806123865030622,-1.564983816792179,0.0044248874956391016,-25551.98106054198,4013.4712539451316,0.0011357259829473762
gap_2dp,1,interior,531,531,0,531,148.04143126177024,146.43126177024482,0.9853277849903924,0.015495022518608471,0.02161729236916238,0.005394466352030135,30738898.0,-11.154985941010676,27.515839227597343,-7.8334523640728815,24.278669,119.999873182674,0.8000510650094167,-9.372581465160074e-08,0.08905959218455653,-6.892975692975517,0.019489429618582407,-23586.605927130102,2289.0964511537168,0.00037333520903204415
gap_2dp,1,lateral_surface,732,732,0,732,115.85792349726776,114.35519125683061,0.876482964011119,0.019080652959154915,0.026427576555263975,0.0036241057041516583,33175606.0,-7.237419379726784,26.47049346774092,-9.090406871462957,22.552826,119.9994411475409,0.8000508086338802,-4.1372765974043736e-07,0.08828797513661096,-9.142969577213124,0.025851137450190954,-21562.33593930065,2288.9541731865734,0.000640083435117203
gap_2dp,1,measurement_core,68,68,0,68,166.23529411764707,166.23529411764707,0.9998477739497749,0.018153802446803716,0.025647527747158047,-0.009890125545588234,23042958.0,-5.793523786274509,22.609542015148648,-6.672265590271586,12.49956,119.99960367647058,0.8000503639705877,-2.937950132352941e-07,0.08522325000000006,-9.257822989705888,0.02617587782342524,-21937.361660454273,2365.396033424955,0.00022586389602173622
gap_2dp,1,top_cap_zone,152,152,0,152,129.28947368421052,120.28947368421052,0.9395276601770848,0.02610146966543015,0.03469114801101726,0.012433297463947345,34038308.0,-30.45388832124999,39.39892930970641,-1.3376468597770472,40.929031,120.0,0.800052786842106,0.0,0.0992872901315792,5.5922788492763145,-0.015811795934740847,-30777.05380218047,2715.9176635208028,0.0006787286300000065
platen_overhang,0,bottom_cap_zone,328,0,0,0,161.10365853658536,109.11585365853658,0.9933907962853665,0.017243615596005204,0.024049038021255815,0.00849819859722562,20359206.0,18.423170311780517,18.383419213954443,2.46781642337592,4841.6807,119.99716768292657,0.8000378302439024,-2.0973946129756117e-06,0.3743909567073173,-28.47993727713414,0.08052512555208843,-12399.651231986341,5536.053944649318,0.0004012893170627328
platen_overhang,0,edge_ring,2412,0,0,0,113.78109452736318,68.08623548922057,0.7947960298626082,0.06760125343247576,0.09148021229130197,0.015136569118929513,38350056.0,42.255047533235484,42.83624749635807,2.034653235213261,4748.2471,120.01520537313424,0.7999883513432846,1.1260274834996677e-05,0.3648487480928615,-63.92457147747219,0.18074246772375202,-12362.99041623894,6786.337339201186,0.005698675571692108
platen_overhang,0,interior,1083,0,0,0,149.90766389658356,146.2853185595568,0.9846891650152443,0.03665732497884988,0.05156251801465693,-0.0015961861063250363,29112664.0,29.69311649609929,39.5250075367216,2.1316704005398956,4460.5254,119.99443593721216,0.800029549750692,-4.1210830987165294e-06,0.3726802965373932,-55.795380399815286,0.15775772145147687,-10376.097122879106,7132.12154814446,0.001845636546547208
platen_overhang,0,lateral_surface,4300,0,0,0,100.99813953488372,97.05674418604652,0.7119780177251177,0.0390763745968842,0.05443204293810704,-0.009659065338125581,30705032.0,39.07734555152535,33.31966362331877,1.3168023636351256,4820.9116,119.99914187906998,0.8000130206790668,-6.355806640120916e-07,0.36459348446512513,-59.31883044465126,0.16772004175000946,-6381.8070862730865,7874.614214869593,0.0024540868660296003
