variant,region,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
edge_selector_buffer,interior,0,417,0,0,0,149.6546762589928,146.8705035971223,0.9842913679025688,0.029527072772145786,0.04164676230137044,0.01538089043405272,31891736.0,23.95146597557156,19.6446252187597,1.347530834355573,4327.084,119.99885606714645,0.8000281736690648,-8.474566009592329e-07,0.31232176318944926,-36.7843899088729,0.10400541219404787,-10682.326641083968,5130.988196837875,0.0008345114800000074
edge_selector_buffer,interior,1,427,0,0,0,149.98126463700234,146.62997658079624,0.9864790836712012,0.0543242233570254,0.07590895164542093,-0.0020068059591334857,31090918.0,30.58731387422169,57.01584492534309,2.666589051139762,6.4264612e-05,119.9819926932086,0.8000448459484761,-1.3337734894332554e-05,0.265313126299768,-67.61761306089002,0.1911842968008324,-17386.924556967577,4748.985368789428,0.0015382187341272382
edge_selector_buffer,lateral_surface,-3,4,4,4,0,122.0,122.0,0.9278528618622681,0.06487502440849917,0.08900577547640966,-0.0080567445,5336663.0,51.24936674999999,80.72187911561974,1.575080517763086,1444.1765,119.97441,0.80003411,-1.89634075e-05,0.23130525,-98.17014875,0.27756955630333546,-10102.7154182,0.0008650067646277155,0.0009435313569247697
edge_selector_buffer,lateral_surface,-1,684,684,0,684,105.85964912280701,101.85380116959064,0.7724509080120932,0.023817465349633606,0.03284559341766606,0.004163382163932747,32079534.0,-13.900143160599402,38.328015051043785,-9.142973678452833,32.784847,119.99951017543901,0.800050295555556,-3.632748082894736e-07,0.2707063311111072,-8.78276793559941,0.024832691302196785,-23479.212451689433,3930.3476701239565,0.0011118912266712905
edge_selector_buffer,lateral_surface,0,2672,0,0,0,95.00149700598803,94.10928143712574,0.6742237196852792,0.03402995986672247,0.04696614644627708,-0.0026883830998128593,33141394.0,33.65747665679207,21.55483357903432,0.9004811136250579,4953.1509,119.99944944610743,0.8000178127544897,-4.0805043709955125e-07,0.2897818860329352,-44.56245332223036,0.12599736838475126,-8812.611718057651,5569.146948143593,0.0013368548670310018
edge_selector_buffer,lateral_surface,1,952,0,0,0,105.19747899159664,101.89075630252101,0.7666615039593139,0.07196500949664797,0.09854886124470345,0.003238941450609245,29774798.0,33.030163930759755,57.324042056612626,2.5938579529879147,7.6065786e-05,119.98184827731106,0.8000422470588219,-1.3448933872655448e-05,0.2623234660924315,-65.75430126155462,0.18591590680670703,-16852.7709080549,8253.784704917949,0.002766964058159784
edge_selector_buffer,measurement_core,-3,1,1,1,0,178.0,178.0,1.0022735050687486,0.05670218673270897,0.0801890014936088,-0.011728465,7789323.0,53.08409699999999,80.10286950000005,1.5089805427037792,1302.8828,119.97987,0.80002564,-1.4917571e-05,0.23130525,-106.48601,0.3010821000534803,-12725.99282673,0.0,0.0009664209800000004
edge_selector_buffer,measurement_core,-1,18,18,0,18,178.0,178.0,0.9999960991257828,0.01326774923288749,0.018763430907314707,0.004587572041111113,17573052.0,-3.6978398814814812,31.43153757222251,-24.26273560495154,7.0346599,119.99821722222224,0.8000529661111112,-1.3204875777777777e-06,0.27236526999999994,-17.2565185,0.048791656571522714,-23693.312937224997,1929.6134076310586,0.00032131912000000383
edge_selector_buffer,measurement_core,0,142,0,0,0,163.2112676056338,163.2112676056338,0.9998554971455866,0.020665986438217245,0.029083495181934343,-0.013799938034507036,25993822.0,30.06322057992488,23.93720247045343,1.144830169549539,4362.8984,119.99742852112698,0.800021259859155,-1.905321067605633e-06,0.24577314330985825,-45.856217823943666,0.12965540133340328,-8454.296979394107,5600.542872412288,0.0007195196396358565
edge_selector_buffer,measurement_core,1,41,0,0,0,173.1219512195122,173.1219512195122,1.000446734536436,0.0348365535476757,0.04906490531136459,-0.01095063883609756,21134150.0,27.43885621959349,53.45440965365376,3.060713604631037,5.7807618e-05,119.98966682926829,0.8000370607317075,-7.656319265853657e-06,0.2573433114634146,-62.91879065853658,0.17789868945505136,-15420.802149604728,4833.402713219235,0.0009808435600000003
