z,z_norm,analytical_initial_excess,saved_frame0_excess,analytical_t0p1_excess,fd_t0p1_excess,gpu_mode0_t0p1_excess_approx,gpu_mode1_t0p1_excess
0.882799999989,0.886666666667,2302.13511611,0,2301.96413791,2301.93896393,2315.17204728,2183.85146183
0.889399999989,0.893333333333,2166.7154034,0,2166.56440168,2166.54156452,2175.82266493,2045.34138954
0.89599999999,0.9,2031.29569069,0,2031.16256782,2031.14193446,2036.47328256,1906.77408738
0.902599999991,0.906666666667,1895.87597797,0,1895.75886361,1895.74021973,1897.12390018,1768.12849906
0.909199999991,0.913333333333,1760.45626526,0,1760.35349577,1760.33673447,1757.77451783,1629.44925938
0.915799999992,0.92,1625.03655255,0,1624.94665251,1624.93166861,1618.42513546,1490.76057758
0.922399999993,0.926666666667,1489.61683984,0,1489.53850538,1489.52513916,1479.07575309,1352.10379809
0.928999999993,0.933333333333,1354.19712712,0,1354.12921108,1354.11738065,1339.72637072,1213.48234043
0.935599999994,0.94,1218.77741441,0,1218.71891304,1218.7085394,1200.50542874,1074.87507679
0.942199999995,0.946666666667,1083.3577017,0,1083.307743,1083.29871311,1061.44043288,936.237416354
0.948799999995,0.953333333333,947.937988987,0,947.895822417,947.888078239,921.840013562,797.449072405
0.955399999996,0.96,812.518276274,0,812.483263815,812.476750884,781.715858493,658.435379686
0.961999999997,0.966666666667,677.098563562,0,677.070172076,677.064818211,640.94454366,518.293327243
0.968599999997,0.973333333333,541.67885085,0,541.656645644,541.652415653,503.053775496,380.039537623
0.975199999998,0.98,406.259138137,0,406.242777678,406.239640292,352.918171737,240.800164125
0.981799999999,0.986666666667,270.839425425,0,270.828657163,270.82657724,184.845753405,73.5074103703
0.988399999999,0.993333333333,135.419712712,0,135.414369991,135.413334502,168.083543743,-1.17622436961e-05
0.995,1,-2.27797095494e-12,0,-2.71240871537e-12,0,168.083543743,-1.17656617675e-05
